t,qz_z,gensys_z,diff_z,qz_log_k_dev,gensys_log_k_dev,diff_log_k_dev,qz_log_c_dev,gensys_log_c_dev,diff_log_c_dev,qz_log_n_dev,gensys_log_n_dev,diff_log_n_dev,qz_log_y_dev,gensys_log_y_dev,diff_log_y_dev,qz_log_i_dev,gensys_log_i_dev,diff_log_i_dev
10,0.005987369392383786,0.005987369392383762,2.42861286636753e-17,0.00654749957247072,0.0065474995724713065,-5.863365348801608e-16,0.00600382856936308,0.00600382856936275,3.3046482217358175e-16,0.0017210593153165648,0.0017210593153169486,-3.8380756905986857e-16,0.009445947200275796,0.009445947200276235,-4.388850394221322e-16,0.019361989860807505,0.019361989860809902,-2.3973878437999474e-15
11,0.005688000922764597,0.005688000922764572,2.5153490401663703e-17,0.006869524021817381,0.006869524021818015,-6.34041430469523e-16,0.006082695266165035,0.0060826952661647326,3.0270924655795284e-16,0.0015281869884001592,0.0015281869884005341,-3.7491711124548743e-16,0.009139069243195212,0.009139069243195432,-2.203098814490545e-16,0.01795043069155937,0.01795043069156177,-2.400857290751901e-15
12,0.005403600876626367,0.005403600876626341,2.6020852139652106e-17,0.007147858341233085,0.007147858341233764,-6.7914424084492e-16,0.006141514826535783,0.006141514826535509,2.740863092043355e-16,0.0013494963623168334,0.001349496362317199,-3.655929725621121e-16,0.008840507551353403,0.008840507551353623,-2.203098814490545e-16,0.016626942724226667,0.016626942724228416,-1.7486012637846216e-15
13,0.005133420832795048,0.005133420832795022,2.6020852139652106e-17,0.007385859116804002,0.007385859116804724,-7.216449660063518e-16,0.0061819737567937495,0.0061819737567935015,2.480654570646834e-16,0.0011840855572863042,0.0011840855572866605,-3.5626883387873676e-16,0.00855014487150759,0.00855014487150803,-4.40619762898109e-16,0.015386559428380672,0.015386559428383295,-2.6229018956769323e-15
14,0.0048767497911552955,0.0048767497911552694,2.6020852139652106e-17,0.007586665311003675,0.007586665311004438,-7.624109676918067e-16,0.006205645172721561,0.006205645172721342,2.194425197110661e-16,0.0010311059781561846,0.001031105978156531,-3.465110143263672e-16,0.008267857129136337,0.008267857129136998,-6.609296443471635e-16,0.014224564349424002,0.014224564349426629,-2.626371342628886e-15
15,0.00463291230159753,0.004632912301597504,2.6020852139652106e-17,0.007753211259321413,0.007753211259322214,-8.014422459012849e-16,0.0062139957038916845,0.006213995703891492,1.9255430583342559e-16,0.0008897593022017252,0.0008897593022020617,-3.365363543395006e-16,0.00799351430836229,0.007993514308362952,-6.609296443471635e-16,0.013136481077540448,0.013136481077543297,-2.8484159475539172e-15
16,0.0044012666865176535,0.0044012666865176275,2.6020852139652106e-17,0.00788823892718715,0.00788823892718799,-8.396061623727746e-16,0.006208392000316913,0.0062083920003167484,1.6479873021779667e-16,0.0007592946323185918,0.0007592946323189175,-3.2569433261464553e-16,0.007726981264988792,0.007726981264989453,-6.609296443471635e-16,0.01211806333976105,0.012118063339764559,-3.5093455919010808e-15
17,0.004181203352191771,0.004181203352191744,2.688821387764051e-17,0.00799430946799608,0.007994309467996953,-8.743006318923108e-16,0.006190106863538136,0.006190106863537999,1.3704315460216776e-16,0.0006390058067109722,0.000639005806711287,-3.1474389067254194e-16,0.00746811847696538,0.007468118476966041,-6.609296443471635e-16,0.011165285252017263,0.01116528525201946,-2.1961599205866378e-15
18,0.003972143184582182,0.003972143184582155,2.688821387764051e-17,0.008073814120833927,0.008073814120834832,-9.055256544598933e-16,0.006160325023061459,0.0061603250230613475,1.1188966420050406e-16,0.0005282288566489011,0.0005282288566492049,-3.0379344873043834e-16,0.007216782736337977,0.007216782736337977,0.0,0.010274331762033384,0.010274331762034261,-8.777700788442644e-16
19,0.0037735360253530726,0.0037735360253530457,2.688821387764051e-17,0.00812898448441845,0.008128984484419384,-9.332812300755222e-16,0.006120148577920556,0.006120148577920469,8.673617379884035e-17,0.0004263396043155321,0.0004263396043158252,-2.931140573314561e-16,0.006972827786506026,0.006972827786506246,-2.203098814490545e-16,0.009441589308626142,0.009441589308627462,-1.3201245652183502e-15
20,0.0035848592240854188,0.003584859224085392,2.688821387764051e-17,0.008161902201798186,0.008161902201799145,-9.593020822151743e-16,0.006070602122064453,0.00607060212206439,6.245004513516506e-17,0.00033275139318850926,0.00033275139318879126,-2.820009850634797e-16,0.006736104908373324,0.006736104908374206,-8.821068875342064e-16,0.008663636718090562,0.008663636718093424,-2.8622937353617317e-15
21,0.0034056162628811476,0.0034056162628811207,2.688821387764051e-17,0.008174508088480057,0.00817450808848104,-9.835882108788496e-16,0.0060126375712528735,0.006012637571252836,3.729655473350135e-17,0.00024691294380081404,0.000246912943801085,-2.7094212290412756e-16,0.006506463458766531,0.006506463458767414,-8.829742492721948e-16,0.007937236354170967,0.007937236354173611,-2.643718577388654e-15
22,0.0032353354497370902,0.0032353354497370633,2.688821387764051e-17,0.008168610734887507,0.008168610734888514,-1.007874339542525e-15,0.0059471387081775655,0.005947138708177549,1.6479873021779667e-17,0.00016830632810662071,0.00016830632810688065,-2.599374708533997e-16,0.00628375136428512,0.00628375136428534,-2.203098814490545e-16,0.007259325534286205,0.007259325534287748,-1.54303653188137e-15
23,0.0030735686772502355,0.0030735686772502087,2.688821387764051e-17,0.008145894612375183,0.008145894612376211,-1.0286910212542466e-15,0.005874925461615868,0.005874925461615875,-6.938893903907228e-18,9.644505603788584e-05,9.644505603813476e-05,-2.4891926627551575e-16,0.006067815573569417,0.006067815573569858,-4.414871246360974e-16,0.006627008221419041,0.006627008221421027,-1.9853910182554557e-15
