euler_residual,labor_residual,capital_accumulation_residual,technology_law_residual
-9.7675508217035e-06,-5.444533712761767e-13,2.0070595180499137e-05,3.852403153523306e-19
-1.6029918546098082e-05,-3.653966018646315e-12,-0.00014661243599434212,-7.704806307046612e-19
-1.7130740499316396e-05,-4.0394354527961696e-12,-0.00018302219471522108,8.095376221225099e-19
-2.0128825399479628e-05,-4.934719299853896e-12,-0.00027907988998521205,0.0
-1.9759382927456818e-05,-4.8823167730915876e-12,-0.00027403160425087947,0.0
-1.883167974427635e-05,-4.672706666042359e-12,-0.00025132898261226444,-7.704806307046612e-19
-1.2386690824613612e-05,-2.431388423929093e-12,-6.133294210108886e-05,3.852403153523306e-19
-1.4505699458747897e-05,-3.3404390364921706e-12,-0.00012566409024117317,4.2429730677017925e-19
-1.3523425109849165e-05,-2.98250313335302e-12,-9.905089397577173e-05,7.704806307046612e-19
-3.845303819741104e-05,-8.895550962506604e-12,-0.0009128865474359316,4.2429730677017925e-19
-6.538786450951735e-05,-1.278133154869465e-11,-0.0018622544096746905,3.9056991417848646e-20
-6.435454565123134e-05,-1.2808420990495506e-11,-0.0018703286899395262,-3.9056991417848646e-20
-3.950424663927036e-05,-9.461320615855584e-12,-0.0010307796667756717,-3.852403153523306e-19
-1.947206476539501e-05,-5.449862783279968e-12,-0.00034708147141238044,-3.852403153523306e-19
-3.255634893422571e-05,-8.419043240337489e-12,-0.0008172995032680319,-3.852403153523306e-19
-3.200317612411765e-05,-8.411937812979884e-12,-0.0008145819061819992,-3.852403153523306e-19
-3.470384637452557e-05,-9.00657326496912e-12,-0.0009303990647069327,3.4618332393448195e-19
-1.2011814345461457e-05,-3.1556979251945445e-12,-0.0001159278609090819,-3.852403153523306e-19
-1.8260645631583797e-05,-5.4916071690058735e-12,-0.000347332607491424,-3.852403153523306e-19
-2.0741840197822957e-05,-6.2430061120721795e-12,-0.00044633199258292683,-3.852403153523306e-19
-1.047186752187285e-05,-2.448707903113245e-12,-6.802889066825912e-05,3.4618332393448195e-19
-8.878298567284796e-06,-8.513190152825699e-13,-7.652993227580396e-06,4.2429730677017925e-19
-9.287548621946737e-06,-1.4779288903810084e-12,-2.4045313480769433e-05,-3.852403153523306e-19
-9.242109810593848e-06,-1.4441781104324034e-12,-2.2707688199119502e-05,-3.852403153523306e-19
-8.718784437716642e-06,-4.4142467459096224e-13,-1.4231335150327595e-06,3.9056991417848646e-20
-8.69004888107998e-06,-6.661338147750939e-14,4.961968240735359e-07,0.0
-8.905580466484863e-06,6.870060076380469e-13,-5.6358510729381806e-06,0.0
-8.732467150935457e-06,2.313704783318826e-13,-3.7601173907830804e-07,0.0
-1.3083982192633186e-05,-3.89999144090325e-12,-0.00017160975990826444,4.2429730677017925e-19
-1.3533032320506229e-05,3.730349362740526e-12,-0.00016630212507351413,-3.4618332393448195e-19
-1.4313057337467861e-05,4.059419467239422e-12,-0.00019587479054017362,3.852403153523306e-19
-1.2169003890812717e-05,3.1992186677598507e-12,-0.00012121866817160766,3.852403153523306e-19
-1.0177701779600946e-05,2.081890215777093e-12,-5.117732190029755e-05,-4.2429730677017925e-19
-1.1530292373035956e-05,2.9234392684429622e-12,-0.00010025321478401847,7.811398283569729e-20
-2.6946414009699373e-05,7.478018204665204e-12,-0.0006559360726292596,-4.2429730677017925e-19
-1.951842154651294e-05,5.828670879282071e-12,-0.00039355922878314686,3.852403153523306e-19
-8.784958850583496e-06,4.2943426592501045e-13,-1.379391273204078e-06,7.811398283569729e-20
-1.5262251277419303e-05,4.607869641404249e-12,-0.00024225203155125996,3.852403153523306e-19
-9.529691560086274e-06,1.7079671010833408e-12,-3.085004347092024e-05,3.852403153523306e-19
-1.0343147147018944e-05,2.3954171979312378e-12,-6.213747464478557e-05,3.852403153523306e-19
-1.013519056905616e-05,2.2635227026057688e-12,-5.449874972285329e-05,7.811398283569729e-20
-1.5792870588808032e-05,4.8809845054620374e-12,-0.0002662798076791262,-3.4618332393448195e-19
-1.6773857937636136e-05,5.234923605712538e-12,-0.0003043033299121589,3.852403153523306e-19
-8.95712225612039e-06,1.0120793092482927e-12,-6.10234866194048e-06,-7.811398283569729e-20
-9.259428884515337e-06,-8.29558643999917e-13,-6.408469214846945e-06,7.704806307046612e-19
-2.0524793176341243e-05,-5.75806069491591e-12,-0.00038682060664996243,-3.9056991417848646e-20
-3.3660898103922096e-05,-8.65130189708907e-12,-0.0008623100585616327,-3.852403153523306e-19
-3.572150730634877e-05,-9.122480548739985e-12,-0.0009554295359350816,3.4618332393448195e-19
-6.366219449822678e-05,-1.3312018154465477e-11,-0.0020118471216061806,3.9056991417848646e-20
-6.191493372937021e-05,-1.3259171538493318e-11,-0.0019923226061333565,-3.9056991417848646e-20
-6.90482362452028e-05,-1.4310774787418268e-11,-0.002312531944136609,-1.5800182528271712e-18
-4.951131400661186e-05,-1.192246301684463e-11,-0.0016028597518502605,3.9056991417848646e-20
-4.121466880989871e-05,-1.080069367276337e-11,-0.0013088697060901209,-3.9056991417848646e-20
-2.36567365188871e-05,-7.551737013500315e-12,-0.000628897296655495,-3.9056991417848646e-20
-3.2302533895487435e-05,-9.471978756891986e-12,-0.000992880782995087,3.9056991417848646e-20
-1.405893906352064e-05,-4.935607478273596e-12,-0.00024964363618629193,3.4618332393448195e-19
