t,epsilon_t,shock_impact_t,k,z,c,n,y,i,log_k_dev,log_c_dev,log_n_dev,log_y_dev,log_i_dev
80,-0.9651167622323719,-0.009651167622323719,11.960923223753568,-0.029979830966045538,0.8747241000261794,0.32793407699767274,1.1616588589798293,0.28693475895364995,-0.04699575541645604,-0.03835743350134037,-0.006280051039719214,-0.050917535581389894,-0.0882616492501208
81,-0.7252260645357532,-0.007252260645357532,11.948864477026403,-0.03573310006310079,0.8723781993193845,0.327107829060306,1.1527127619611741,0.2803345626417896,-0.04800444256169598,-0.04104291118346436,-0.008802785441671892,-0.058648482067981345,-0.11153276198735083
82,2.1284697324351645,0.021284697324351644,11.930446913755176,-0.012661747735594104,0.8789523527636217,0.3307376450754821,1.187317892262232,0.30836553949861034,-0.04954699683571455,-0.03353526584992951,0.0022327935677114003,-0.02906967871311591,-0.016230622632015395
83,-0.8213866792243861,-0.008213866792243861,11.940421362074915,-0.02024252714105826,0.8769550882751926,0.329522714563443,1.1759327490677098,0.2989776607925172,-0.04871129628347721,-0.0358101754529132,-0.0014473664343579629,-0.038704908321099143,-0.04714766091845962
84,0.838489203736345,0.008384892037363449,11.940902373078739,-0.010845508746641896,0.8799841629324772,0.3309707933186093,1.1903882130654428,0.3104040501329657,-0.04867101283778349,-0.032362045238496936,0.002937479315232248,-0.02648708660649532,-0.009641682116762305
85,-0.9029271780870264,-0.009029271780870264,11.952616756991407,-0.019332505090180065,0.877768851113091,0.3296075317245982,1.1776299413450133,0.2998610902319223,-0.04769046369493939,-0.03488266443198257,-0.0011900055801078843,-0.03726267559162739,-0.04419718358621799
86,0.9315730128742441,0.009315730128742442,11.953670273798076,-0.00905014970692862,0.8811095832713031,0.33119037605056323,1.1934926841517488,0.31238310088044574,-0.0476023264776464,-0.031083952582212464,0.0036007098100444774,-0.023882532960452778,-0.0032861964399216554
87,0.38495096610586316,0.0038495096610586315,11.96700746119764,-0.004748132560523558,0.8830666826718084,0.33179602049902646,1.2005223926605704,0.31745570998876194,-0.04648720850905272,-0.028865239813952996,0.005427729550073245,-0.01800978071173553,0.012821794054391709
88,-0.1566378976580904,-0.0015663789765809042,11.984959300525794,-0.006077104909078284,0.8834117122274394,0.3315082688298338,1.1989092299494717,0.3154975177220323,-0.044988221568383745,-0.0284745986818397,0.004560098534042937,-0.01935440161190892,0.006634295741825389
89,-0.040762526135434025,-0.00040762526135434024,12.000574905009657,-0.006180874924978709,0.8840499576589637,0.3314212017428868,1.1991452818637578,0.31509532420479414,-0.043686136190063014,-0.027752381651461214,0.0042974247766899894,-0.019157532096319787,0.005358691120163149
90,-0.6547876954293904,-0.0065478769542939045,12.015421181379516,-0.012419708133023677,0.8826789896640326,0.3303891296415082,1.1898403941854243,0.30716140452139173,-0.04244977037724185,-0.029304366490098807,0.001178486044298103,-0.026947394400479913,-0.020143161392462895
91,0.44607220148208054,0.0044607220148208055,12.02213302510318,-0.007338000711551687,0.8846034959712319,0.33114425510051887,1.1978916049105022,0.3132881089392703,-0.041891323886351965,-0.027126438418539844,0.0034614419899734934,-0.020203554437055005,-0.0003932754431178339
92,-0.45498348034078,-0.0045498348034078,12.034692163212862,-0.011520935479381902,0.8837944948312446,0.33044081122455465,1.1917168258854491,0.3079223310542045,-0.04084720113512766,-0.02804139217966394,0.0013349002136807825,-0.025371591751272037,-0.01766893917852055
93,-1.2256057637672482,-0.012256057637672482,12.041679827492922,-0.02320094634308529,0.8803387337649226,0.3286106783223976,1.1739445238358184,0.2936057900708958,-0.04026674287680241,-0.031959197740568185,-0.004218952969050982,-0.04039710367892667,-0.06527850095365853
94,-1.2779375743196193,-0.012779375743196193,12.03427609960879,-0.03482027476912722,0.8763041673714145,0.32686421897023155,1.1561762952935604,0.2798721279221459,-0.040881773751582945,-0.03655270218601184,-0.009547802303099009,-0.05564830679368074,-0.11318370558537569
95,0.17258791772211948,0.0017258791772211948,12.013190706110771,-0.03135338185344966,0.876514372314833,0.32748867631893297,1.1608765467533928,0.2843621744385598,-0.042635421990043804,-0.036312854261464016,-0.007639176108382777,-0.05159120647923016,-0.09726783063673554
96,1.579091256410435,0.01579091256410435,11.997204371150138,-0.013994800196672822,0.881391518380313,0.33022843218704456,1.1869494188599592,0.30555790047964615,-0.04396704000561152,-0.030764026414619724,0.0006919792757272545,-0.029380067862227376,-0.025377230857507233
