scenario_name,scenario_label,evaluation_seed,classical_cumulative_policy_loss,belief_cumulative_policy_loss,rawobs_cumulative_policy_loss,full_information_cumulative_policy_loss,rawobs_minus_classical,belief_minus_classical,rawobs_minus_belief
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",908,0.0075806999472161,0.0026306747079456,0.0026715799445753,0.0122786765239183,-0.0049091200026408,-0.0049500252392704995,4.090523662969971e-05
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",909,0.0153677367990114,0.0018279416712125,0.0025183441186511,0.0168914870293466,-0.0128493926803603,-0.0135397951277989,0.0006904024474385997
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",900,0.0030273080793313,0.001807188387722,0.0022955723601982,0.0017139808149312,-0.0007317357191331001,-0.0012201196916093,0.0004883839724761998
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",901,0.0142021180098932,0.0107680240694938,0.00478819949901,0.0018856334084421,-0.0094139185108832,-0.0034340939403994,-0.005979824570483801
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",902,0.0145289737487355,0.0080024011726791,0.0108310197149214,0.0124472703366444,-0.003697954033814099,-0.0065265725760564,0.002828618542242301
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",903,0.0014226407263221,0.0012060377938155,0.0012148579025111,0.0012925603072299,-0.000207782823811,-0.00021660293250660013,8.820108695600142e-06
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",904,0.0020505721328046,0.0011063488242464,0.0009814194840458,0.002483211509719,-0.0010691526487587998,-0.0009442233085581999,-0.00012492934020059986
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",905,0.0169695268284596,0.0020564889676491,0.0041116862283738,0.0119296363100561,-0.012857840600085803,-0.014913037860810502,0.0020551972607246996
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",906,0.0117622691454305,0.0056665272852879,0.0048566123336159,0.0055249632958601,-0.0069056568118145995,-0.0060957418601425995,-0.000809914951672
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",907,0.0017243782902071,0.0007041961871133,0.0015940332162244,0.0024461197624822,-0.00013034507398269998,-0.0010201821030938001,0.0008898370291111
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",908,0.006942052174224,0.0041089792778737,0.006537421343826,0.0081340987370242,-0.00040463083039799994,-0.0028330728963502994,0.0024284420659522995
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",909,0.0123912283906497,0.0014110343005733,0.004616287110173,0.0129686222132265,-0.0077749412804767005,-0.0109801940900764,0.0032052528095997002
thin_information_strong_gap,"Инфляция, ставка × сильный режимный разрыв",900,0.004449093033947849,0.0005420171006426906,0.004929455550991985,0.0019205733401253824,0.0004803625170441356,-0.003907075933305158,0.004387438450349294
thin_information_strong_gap,"Инфляция, ставка × сильный режимный разрыв",901,0.015822962117664992,0.01106705264799649,0.014345898980415403,0.0030861507623668296,-0.0014770631372495891,-0.004755909469668501,0.003278846332418912
thin_information_strong_gap,"Инфляция, ставка × сильный режимный разрыв",902,0.01303324817472907,0.004840425480801382,0.012291011566301442,0.010841062070055654,-0.000742236608427628,-0.008192822693927689,0.0074505860855000605
thin_information_strong_gap,"Инфляция, ставка × сильный режимный разрыв",903,0.0014226407263503034,0.0010838327524115945,0.0014374106367722238,0.0012925603072820745,1.4769910421920341e-05,-0.000338807973938709,0.0003535778843606293
thin_information_strong_gap,"Инфляция, ставка × сильный режимный разрыв",904,0.0020505721328939646,0.0009886367660172472,0.0012118674875737365,0.002483211509909011,-0.000838704645320228,-0.0010619353668767173,0.0002232307215564893
thin_information_strong_gap,"Инфляция, ставка × сильный режимный разрыв",905,0.018269483208074467,0.005702873473073711,0.009076455001931424,0.01260385856976472,-0.009193028206143043,-0.012566609735000756,0.0033735815288577133
thin_information_strong_gap,"Инфляция, ставка × сильный режимный разрыв",906,0.014193394401994467,0.006400760376039773,0.010240988476212399,0.005732988600387091,-0.003952405925782068,-0.007792634025954694,0.0038402281001726256
thin_information_strong_gap,"Инфляция, ставка × сильный режимный разрыв",907,0.004509697637011831,0.0011521857578490893,0.0033155500695084524,0.0032786933190939757,-0.001194147567503379,-0.0033575118791627423,0.0021633643116593633
thin_information_strong_gap,"Инфляция, ставка × сильный режимный разрыв",908,0.011304176805350152,0.0021591726749857145,0.00829171049448048,0.01227867653256061,-0.003012466310869672,-0.009145004130364438,0.006132537819494766
thin_information_strong_gap,"Инфляция, ставка × сильный режимный разрыв",909,0.01651332206603299,0.0023350444784543374,0.011365161011117517,0.016891487038478713,-0.0051481610549154715,-0.014178277587578652,0.009030116532663179
