phi_pi,phi_x,determinate,stable_root_count,roots_outside_unit_circle_count,infinite_root_count,spectral_radius
1.4,0.04,True,3,2,1,0.8000000000000003
1.4500000000000002,0.04,True,3,2,1,0.8000000000000005
1.5,0.04,True,3,2,1,0.8000000000000003
1.55,0.04,True,3,2,1,0.8
1.6,0.04,True,3,2,1,0.7999999999999998
1.6500000000000001,0.04,True,3,2,1,0.8000000000000003
1.7000000000000002,0.04,True,3,2,1,0.8
1.75,0.04,True,3,2,1,0.7999999999999998
1.8,0.04,True,3,2,1,0.8000000000000003
1.85,0.04,True,3,2,1,0.8000000000000003
1.9000000000000001,0.04,True,3,2,1,0.7999999999999999
1.9500000000000002,0.04,True,3,2,1,0.8000000000000004
2.0,0.04,True,3,2,1,0.7999999999999998
2.05,0.04,True,3,2,1,0.7999999999999999
2.1,0.04,True,3,2,1,0.8
2.1500000000000004,0.04,True,3,2,1,0.8
2.2,0.04,True,3,2,1,0.7999999999999998
2.25,0.04,True,3,2,1,0.8000000000000002
2.3,0.04,True,3,2,1,0.8000000000000002
2.35,0.04,True,3,2,1,0.8
2.4000000000000004,0.04,True,3,2,1,0.8
2.45,0.04,True,3,2,1,0.8000000000000002
2.5,0.04,True,3,2,1,0.7999999999999998
0.5,0.08,False,4,1,1,
0.55,0.08,False,4,1,1,
0.6,0.08,False,4,1,1,
0.65,0.08,False,4,1,1,
0.7,0.08,False,4,1,1,
0.75,0.08,False,4,1,1,
0.8,0.08,False,4,1,1,
0.8500000000000001,0.08,False,4,1,1,
0.9,0.08,False,4,1,1,
0.95,0.08,False,4,1,1,
1.0,0.08,True,3,2,1,0.7999999999999999
1.05,0.08,True,3,2,1,0.8
1.1,0.08,True,3,2,1,0.8000000000000003
1.15,0.08,True,3,2,1,0.7999999999999998
1.2000000000000002,0.08,True,3,2,1,0.7999999999999999
1.25,0.08,True,3,2,1,0.7999999999999997
1.3,0.08,True,3,2,1,0.8000000000000004
1.35,0.08,True,3,2,1,0.8000000000000003
1.4,0.08,True,3,2,1,0.8000000000000002
1.4500000000000002,0.08,True,3,2,1,0.7999999999999998
1.5,0.08,True,3,2,1,0.8
1.55,0.08,True,3,2,1,0.7999999999999996
1.6,0.08,True,3,2,1,0.8000000000000003
1.6500000000000001,0.08,True,3,2,1,0.8000000000000004
1.7000000000000002,0.08,True,3,2,1,0.7999999999999998
1.75,0.08,True,3,2,1,0.7999999999999998
1.8,0.08,True,3,2,1,0.8000000000000003
1.85,0.08,True,3,2,1,0.8000000000000002
1.9000000000000001,0.08,True,3,2,1,0.8
1.9500000000000002,0.08,True,3,2,1,0.8
2.0,0.08,True,3,2,1,0.8
2.05,0.08,True,3,2,1,0.8000000000000002
2.1,0.08,True,3,2,1,0.7999999999999999
2.1500000000000004,0.08,True,3,2,1,0.8000000000000002
2.2,0.08,True,3,2,1,0.8
2.25,0.08,True,3,2,1,0.8
2.3,0.08,True,3,2,1,0.8000000000000002
2.35,0.08,True,3,2,1,0.8000000000000002
2.4000000000000004,0.08,True,3,2,1,0.7999999999999998
2.45,0.08,True,3,2,1,0.7999999999999999
2.5,0.08,True,3,2,1,0.8
0.5,0.12,False,4,1,1,
0.55,0.12,False,4,1,1,
0.6,0.12,False,4,1,1,
0.65,0.12,False,4,1,1,
0.7,0.12,False,4,1,1,
0.75,0.12,False,4,1,1,
0.8,0.12,False,4,1,1,
0.8500000000000001,0.12,False,4,1,1,
0.9,0.12,False,4,1,1,
0.95,0.12,False,4,1,1,
1.0,0.12,True,3,2,1,0.8
1.05,0.12,True,3,2,1,0.7999999999999999
1.1,0.12,True,3,2,1,0.8
1.15,0.12,True,3,2,1,0.7999999999999999
1.2000000000000002,0.12,True,3,2,1,0.7999999999999997
1.25,0.12,True,3,2,1,0.8000000000000002
1.3,0.12,True,3,2,1,0.7999999999999997
1.35,0.12,True,3,2,1,0.8000000000000002
1.4,0.12,True,3,2,1,0.7999999999999997
1.4500000000000002,0.12,True,3,2,1,0.8
1.5,0.12,True,3,2,1,0.7999999999999996
1.55,0.12,True,3,2,1,0.7999999999999996
1.6,0.12,True,3,2,1,0.8000000000000002
1.6500000000000001,0.12,True,3,2,1,0.8000000000000003
1.7000000000000002,0.12,True,3,2,1,0.7999999999999997
1.75,0.12,True,3,2,1,0.8000000000000004
1.8,0.12,True,3,2,1,0.7999999999999997
1.85,0.12,True,3,2,1,0.8
1.9000000000000001,0.12,True,3,2,1,0.8000000000000002
1.9500000000000002,0.12,True,3,2,1,0.8000000000000003
2.0,0.12,True,3,2,1,0.7999999999999997
2.05,0.12,True,3,2,1,0.8000000000000003
2.1,0.12,True,3,2,1,0.8000000000000002
2.1500000000000004,0.12,True,3,2,1,0.8
2.2,0.12,True,3,2,1,0.8000000000000003
2.25,0.12,True,3,2,1,0.8000000000000005
2.3,0.12,True,3,2,1,0.8000000000000002
2.35,0.12,True,3,2,1,0.8
2.4000000000000004,0.12,True,3,2,1,0.7999999999999999
2.45,0.12,True,3,2,1,0.7999999999999999
2.5,0.12,True,3,2,1,0.7999999999999999
0.5,0.16,False,4,1,1,
0.55,0.16,False,4,1,1,
0.6,0.16,False,4,1,1,
0.65,0.16,False,4,1,1,
0.7,0.16,False,4,1,1,
