t,eps_demand,eps_costpush,eps_monetary,internal_linear_residual_max_abs,r_n,u,nu,x,pi,i
34,-1.8098024217575701,1.9042868571398057,-0.7740824775523911,6.938893903907228e-18,-0.02243622330886529,0.022564221271013606,-0.0003596330193852584,-0.05864137999151714,0.02694926542680911,0.01074357512506984
35,2.0276390593976137,-1.313934317016593,1.1016167894344917,8.673617379884035e-19,0.0023274119468839026,-0.0018572325346591263,0.0025742254638936,0.0031664417869836274,-0.0024157930410430802,0.0005337567958207936
36,-0.5664299760602932,-0.15572100648652631,0.8833741115317979,4.336808689942018e-18,-0.0038023702030958104,-0.0024858263321948263,0.003495548010776295,-0.0024773025150161224,-0.006450202928754187,-0.007418407639863042
37,-0.7396563487049032,0.3153126804328695,0.3074642153973558,4.7704895589362195e-18,-0.010438459649525679,0.0019102136382312816,0.002516434543881537,-0.015328371969577185,-0.0021001477879124685,-0.008297973122775753
38,1.1912660830596307,1.3666571867878297,1.8790143846235494,6.938893903907228e-18,0.0035618931109757668,0.014621678686993938,0.005955753233499642,-0.025703060430148257,0.02483572592661398,0.030357811908346487
39,0.3038701652422673,0.4087216807673462,-0.5685938710464562,6.071532165918825e-18,0.00588821614120328,0.01139805615117043,0.0015563919391336804,-0.01445824551535843,0.02131359092080085,0.026297655562655745
40,-0.7668818194111915,-1.3211699391809313,-0.22628348007940302,3.903127820947816e-18,-0.0029582452811492965,-0.0075126713162240975,0.00021248726936833268,0.00938630736966071,-0.013824859326385174,-0.01583164803537907
41,0.15640239164433198,0.02021704412551649,0.5733221219992888,1.5178830414797062e-18,-0.0008025723084761143,-0.0035541652168568838,0.0015395489396823883,0.0038152939480900604,-0.006501374757024037,-0.0063048662218086375
42,-1.3561959627608202,1.7326041361802638,0.3071091335522432,1.0408340855860843e-17,-0.014204017474389092,0.015548958753374195,0.001537547303721802,-0.04068748479384245,0.018858483955279077,0.009481530839719194
43,1.0932036776709175,0.34524752835984196,-0.8765148304103874,4.0115480381963664e-18,-0.0004311772028021011,0.011226954660285516,-0.0014225134241650675,-0.017785540619772847,0.018592086611363474,0.01757284618299372
44,-0.32586528605569304,-3.298281365499791,0.21385169903685072,1.0408340855860843e-17,-0.003603594622798615,-0.02736933632485515,-0.0001766274644904069,0.04190943903911883,-0.04688080389291214,-0.049543113784299195
45,-0.06930605988926164,1.2130145118061124,-1.7559602472831453,1.734723475976807e-18,-0.0035759362971314983,-0.0015545230443664501,-0.004478214350453066,0.002857590324775054,-0.0034878563987955536,-0.00828120378625887
46,-0.07858525308218464,-0.3054075555059961,-1.2631874259731077,2.6020852139652106e-18,-0.0036466015685270433,-0.003831337077243186,-0.005397075740159303,0.007319728490986163,-0.007132083563008346,-0.012435336839178742
47,-1.4681595891719548,-1.175506223315103,0.9838877103433602,1.0408340855860843e-17,-0.01759887714654118,-0.013670730771772622,-0.00023881859422125078,0.005817085091576532,-0.030719519563842675,-0.04340955539419699
