scenario,scenario_label,period,full_information_rate,filtered_rate,rate_gap,abs_rate_gap,full_loss,filtered_loss,excess_loss,full_pi,filtered_pi,full_output_gap,filtered_output_gap,full_consumption,filtered_consumption,full_low_liquidity_share,filtered_low_liquidity_share,full_mean_mpc,filtered_mean_mpc
full_macro,Фильтрация: расширенный макронабор,6,0.00020908733840339667,-8.090429081037037e-05,-0.00028999162921376705,0.00028999162921376705,4.1979159585807327e-07,5.210707556962215e-07,1.0127915983814819e-07,0.00023416640838782752,-0.0002236287065239594,-0.0008533946678668247,-0.000970490046046546,-0.00022796305962302643,-0.00012994694875734236,0.5937753072118068,0.5941015696551919,0.10645099440682107,0.1067084027051714
full_macro,Фильтрация: расширенный макронабор,7,0.00031436018128379713,-0.00010305327311709765,-0.0004174134544008948,0.0004174134544008948,2.1585651385743687e-07,4.5327896380542026e-08,-1.7052861747689484e-07,0.00040943624738342527,-9.895428075064574e-05,-0.0003087534764617539,-0.0002665010987999983,-0.00035441784253320563,-0.00019991167076549576,0.5939430158786914,0.5942772001777187,0.10786093923778178,0.10832230647592747
full_macro,Фильтрация: расширенный макронабор,8,0.0005087844380125668,-2.063552274966005e-06,-0.0005108479902875329,0.0005108479902875329,1.1252445927136505e-06,4.6287454583755855e-07,-6.623700468760919e-07,0.0007982458810144439,0.00020429656344054178,-0.0009860609175673662,-0.0009171995571500835,-0.0002675470376990452,-3.942418712277185e-05,0.5942895472423675,0.5946354910752861,0.10598059914076965,0.1062834994869038
full_macro,Фильтрация: расширенный макронабор,9,0.0007198060071501452,4.513265926249872e-05,-0.0006746733478876465,0.0006746733478876465,1.3459138232254293e-06,3.096523501962281e-07,-1.036261473029201e-06,0.0010192106213064728,0.00031950971921036443,-0.0007808931136966679,-0.0006441343266853083,-0.00034774572341633725,-5.7432508744348354e-05,0.5941095959640587,0.5944060499374884,0.10523419175227802,0.1055181311104914
full_macro,Фильтрация: расширенный макронабор,10,0.0009391305980778089,1.3330744835755162e-05,-0.0009257998532420538,0.0009257998532420538,2.0940562716077168e-06,6.736014080869243e-07,-1.4204548635207923e-06,0.0011321180517575226,0.0003080211934130445,-0.0012727606410344317,-0.0010758008964555366,-0.0006031830784091197,-0.00025388384679925213,0.5938300164325349,0.5940523068967982,0.10717390949675323,0.10730030850515507
full_macro,Фильтрация: расширенный макронабор,11,0.0012544638170992604,0.0002129153390840898,-0.0010415484780151706,0.0010415484780151706,2.5549484339801426e-06,7.361275310896278e-07,-1.8188209028905148e-06,0.0014161757174568743,0.0004588203910930021,-0.0010434778572779857,-0.0010233471349389012,-0.0004917838688088816,-0.00012266886651335351,0.5940071426228608,0.5941227641882141,0.10443787859421488,0.10439937012208807
full_macro,Фильтрация: расширенный макронабор,12,0.0014464643299085058,0.000293080705015151,-0.001153383624893355,0.001153383624893355,2.516759895075539e-06,6.888201515608528e-07,-1.8279397435146862e-06,0.0013491775697043577,0.0002685320910280089,-0.001178674315183148,-0.001110305672645362,-0.0006160804066531744,-0.00023627557461769477,0.593496154265337,0.5934644064777019,0.10491164657042529,0.10483714653349081
full_macro,Фильтрация: расширенный макронабор,13,0.001461770868879639,0.0001825783596227713,-0.0012791925092568678,0.0012791925092568678,2.8742430986336507e-06,1.0420569447749174e-06,-1.8321861538587333e-06,0.001247468332786236,3.9977972023946413e-05,-0.0016236096469425254,-0.0014421152298695894,-0.0006586537888099153,-0.00026058147852137115,0.5933031062918248,0.5931188706828442,0.10542719564701031,0.10523066483303417
full_macro,Фильтрация: расширенный макронабор,14,0.001484245284940993,4.5602856470841055e-05,-0.001438642428470152,0.001438642428470152,1.7597908538171996e-06,1.6459556396526827e-07,-1.5951952898519313e-06,0.001193394125591393,-0.0001458448427330756,-0.0008192387440206783,-0.000533641698877152,-0.0007437395601207486,-0.0003292238045772278,0.5933746760214629,0.5930157346670077,0.10714476654086612,0.10676238462318335
full_macro,Фильтрация: расширенный макронабор,15,0.0016366617532075395,-1.8494086550495513e-05,-0.001655155839758035,0.001655155839758035,1.7600438135303871e-06,3.245242165457227e-08,-1.727591391875815e-06,0.0013256552917286293,-0.00014623861752441044,-5.514203573186993e-05,0.00014738566751137938,-0.0006950114432613397,-0.00028954887892629344,0.5938036289984712,0.593308951832724,0.10768928322056776,0.1072301507250761
full_macro,Фильтрация: расширенный макронабор,16,0.0017469288279495505,-7.0021104260533755e-06,-0.001753930938375604,0.001753930938375604,2.262607119554717e-06,7.735372236278334e-09,-2.2548717473184385e-06,0.0015030606948481663,-8.366789397601749e-05,7.493631654487132e-05,3.8169424363854176e-05,-0.0005416531070293606,-0.00017533099849476041,0.5941943679499069,0.5935868545315269,0.10703781360498629,0.10645951575360915
full_macro,Фильтрация: расширенный макронабор,17,0.001841196948216584,4.326677160247743e-06,-0.0018368702710563362,0.0018368702710563362,2.4810732429703237e-06,1.1595597457986669e-08,-2.469477645512337e-06,0.0015730364330976989,-9.18244401447858e-05,0.00011122319176015694,-7.946637752753727e-05,-0.00041034151079943904,-0.0001036267998273388,0.5943313818854832,0.5936186040267774,0.10641157811283576,0.10590742095605012
full_macro,Фильтрация: расширенный макронабор,18,0.0018021291333981109,-7.650805638435841e-05,-0.0018786371897824693,0.0018786371897824693,2.434679280080381e-06,2.5832284414476055e-08,-2.4088469956659047e-06,0.0015500560853962749,-0.00015893503379794174,0.00025270179064906806,-2.214618426554793e-05,-0.0002972049479322836,-4.793151453597044e-05,0.5943265741711296,0.5935370614840944,0.10600671105226792,0.10543399602902413
full_macro,Фильтрация: расширенный макронабор,19,0.0016855344604474389,-8.403838659445228e-05,-0.0017695728470418911,0.0017695728470418911,2.1670819496403345e-06,8.0961794384255e-08,-2.0861201552560794e-06,0.0014686013948670264,-0.0002552191637716114,0.00013865191485828987,-0.00017788837811572034,-0.0003621683069543469,-0.0001746394185458966,0.5942858358324674,0.5934468523282695,0.10828914449249122,0.10753208783497148
full_macro,Фильтрация: расширенный макронабор,20,0.0016390995193617155,-0.00011830225400349727,-0.0017574017733652128,0.0017574017733652128,3.0989134674107067e-06,4.794505072194663e-08,-3.05096841668876e-06,0.0016513659616592406,-6.112125734191582e-05,0.0008623179435640616,0.0002971549831061182,-0.0001523126629082716,-5.3522140008976926e-05,0.5946713426064969,0.5938293706371379,0.10675652986239226,0.10653260401243181
full_macro,Фильтрация: расширенный макронабор,21,0.0016463070397828763,-1.0998729628343687e-05,-0.00165730576941122,0.00165730576941122,3.026744971975566e-06,2.4832452040041355e-09,-3.0242617267715617e-06,0.001687572599823145,1.646699213629374e-05,0.0005980653724872997,-5.7208059866087346e-05,-8.815312005483467e-05,-3.119487473479676e-05,0.5946163501679749,0.593908719617025,0.10608687527349614,0.10589825595495914
full_macro,Фильтрация: расширенный макронабор,22,0.0016098544205119338,7.573369072692313e-05,-0.0015341207297850108,0.0015341207297850108,2.9473172223835943e-06,1.243564443605366e-08,-2.9348815779475406e-06,0.0016761369895427834,6.762697573227604e-05,0.000525005857105354,-0.00012236103098883788,-0.00013705305194366968,-0.00011443449369796799,0.5944237295439264,0.5938598389334919,0.10680671270668161,0.10675570125540938
full_macro,Фильтрация: расширенный макронабор,23,0.0016597990157703726,0.0001739524253470672,-0.0014858465904233054,0.0014858465904233054,3.010843136585368e-06,1.3953813916638397e-07,-2.871304997418984e-06,0.0017296489624448097,0.0001933484645341295,0.00019510448569515226,-0.00045093716732413913,-0.0001196337745704712,-0.00011821683933921356,0.594426611655628,0.5940228208991151,0.1066578441692128,0.10686916844670116
full_macro,Фильтрация: расширенный макронабор,24,0.001753803462404351,0.0002968840545767469,-0.0014569194078276042,0.0014569194078276042,3.144297907601313e-06,3.195200525267104e-07,-2.8247778550746027e-06,0.0017730674307733893,0.00031678780891857087,-1.3262860371510143e-05,-0.000660923486303866,-0.00011392281755007172,-0.0001180117093823041,0.5943260036592891,0.5941324153250931,0.10669608824066354,0.1069851608380239
full_macro,Фильтрация: расширенный макронабор,25,0.0018270969517770407,0.0004417102139918958,-0.0013853867377851448,0.0013853867377851448,3.2262016402888477e-06,7.021861146656528e-07,-2.524015525623195e-06,0.0017763481391002605,0.00040917097115343587,-0.00037555381032461366,-0.00103316649210905,4.2633042615092265e-06,-1.202555990398313e-05,0.5941595692893396,0.5941619786571366,0.10533102391877949,0.10564650449055024
full_macro,Фильтрация: расширенный макронабор,26,0.0016890860507326306,0.0003790849283580278,-0.0013100011223746027,0.0013100011223746027,2.520269545404744e-06,1.4183881116603188e-07,-2.378430734238712e-06,0.0015793630587946834,0.0003128839019341934,0.00022329139472487824,-0.0002957917468640048,7.008137181352403e-06,-1.8219103982697327e-05,0.5936572841730445,0.5938237505632566,0.10581118498544476,0.10605645172852093
full_macro,Фильтрация: расширенный макронабор,27,0.0014910247777805046,0.0002596258367427559,-0.0012313989410377487,0.0012313989410377487,1.7765935197640836e-06,3.6272927512382846e-08,-1.7403205922517007e-06,0.0013221711711951768,0.00015516900901323198,0.00023019774296151319,-0.00015153865794415022,0.00013319700150604685,9.391556739601903e-05,0.5933699986168982,0.5936449134057888,0.10498820087677382,0.10511632155472897
full_macro,Фильтрация: расширенный макронабор,28,0.0012535688080316037,0.00014602842174432835,-0.0011075403862872753,0.0011075403862872753,1.222658390576589e-06,1.500227235653047e-07,-1.0726356670112844e-06,0.0009670430090882533,-0.00010250446873249,0.0007545421688304188,0.000527011079239248,0.00010666400899006501,4.9758131182797705e-05,0.5929923446212864,0.5933233511612123,0.10652554400465107,0.10643259214240605
