variant_name,scenario_name,scenario_label,policy_name,policy_label,training_seed,evaluation_seed,input_mode,include_distributional_state,mean_policy_loss,cumulative_policy_loss,mean_reference_loss,cumulative_reference_loss,mean_excess_loss,cumulative_excess_loss,mean_abs_rate_gap,policy_rate_rmse,policy_instrument_volatility,mean_state_rmse,distribution_state_rmse,mean_filter_variance,unstable,impact_inflation_pp,impact_output_gap_pct,impact_consumption_pct,impact_nominal_rate_pp,impact_real_rate_pp,impact_employment_pct,peak_consumption_q1,peak_consumption_q5,peak_low_liquidity_share_change,peak_mean_mpc_change,peak_consumption_q1_gap_vs_full_information,peak_consumption_q5_gap_vs_full_information,peak_low_liquidity_share_difference_vs_full_information,peak_mean_mpc_difference_vs_full_information
high_noise_filtered_state,high_noise,Фильтрация: высокий шум измерения,full_information_rule,Полная информация,-1,700,filtered_state,1,1.5981301807024127e-06,9.588781084214476e-05,1.5981301807024127e-06,9.588781084214476e-05,0.0,0.0,0.0,0.0,0.0004654323155184809,0.0005510519282615421,0.0006087652376460554,4.860943221061504e-07,0,-0.031709767650578376,-0.03297817784001511,-0.05742190979093999,-0.015597682180930415,0.032116328236732994,-0.0011261475072910088,-0.2764621131111479,-0.769618018537291,0.0013977730680364564,0.002928285601548661,0.0,0.0,0.0,0.0
high_noise_filtered_state,high_noise,Фильтрация: высокий шум измерения,learning_policy,Learning-based policy,22,700,filtered_state,1,1.573968667413657e-06,9.443812004481943e-05,1.5981301807024127e-06,9.588781084214476e-05,-2.4161513288755307e-08,-1.4496907973253185e-06,0.00036467057816279535,0.00048763884213453635,0.000500127741572279,0.0005510519282615421,0.0006087652376460552,4.860943221061504e-07,0,-0.018322580347386055,-0.05516840386653454,-0.058448720385369995,0.0008391115009239201,0.01855500086034124,-0.034252120162125976,-0.32481755307661714,-0.7511112643558241,0.0015800173076770951,0.003369814292949108,0.12930329889765857,0.4864405579572404,0.001029992467777019,0.0010545306674122484
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",classical_filtered_rule,Classical: filter + fixed rule,-1,700,filtered_state,1,1.6160903703607804e-06,9.696542222164682e-05,1.5981301807024127e-06,9.588781084214476e-05,1.7960189658368145e-08,1.0776113795020887e-06,0.0003358382351206433,0.0004316144035914485,0.00048088975988113455,0.00050883783311549,0.000611291346310087,3.088107703007377e-07,0,0.013221705398629168,-0.004704638054020549,-0.004235069928785104,0.009419556421729383,-0.013385203891867379,0.04108635259991722,-0.3338737865796674,-0.7286312002531348,0.001581803415053873,0.003128870806137038,0.14391403930120267,0.6354138328196746,0.0013676728827927143,0.0010828875545488559
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",full_information_rule,Полная информация,-1,700,filtered_state,1,1.5981301807024127e-06,9.588781084214476e-05,1.5981301807024127e-06,9.588781084214476e-05,0.0,0.0,0.0,0.0,0.0004654323155184809,0.0005088378331154898,0.0006112913463100868,3.088107703007377e-07,0,-0.031709767650578376,-0.03297817784001511,-0.05742190979093999,-0.015597682180930415,0.032116328236732994,-0.0011261475072910088,-0.2764621131111479,-0.769618018537291,0.0013977730680364564,0.002928285601548661,0.0,0.0,0.0,0.0
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",learning_policy,Learning-based policy,22,700,filtered_state,1,1.557901763523752e-06,9.347410581142511e-05,1.5981301807024127e-06,9.588781084214476e-05,-4.022841717866046e-08,-2.413705030719628e-06,0.000351168395804926,0.00046800227912437793,0.0004868536123091804,0.00050883783311549,0.000611291346310087,3.088107703007377e-07,0,-0.0205511945603693,-0.04813193994076537,-0.05430545092891029,-0.003969486343566166,0.02081235111545745,-0.023748351036534388,-0.30772867297189194,-0.7589938189446644,0.0014679836964028858,0.0032851433819627157,0.12923875600101417,0.4671038200284304,0.0009955349233597977,0.0010788019979403596
macro_core_filtered_state_uncertainty,macro_core,"Фильтрация: инфляция, выпуск и ставка",classical_filtered_rule,Classical: filter + fixed rule,-1,700,filtered_state_uncertainty,1,1.6160903703607804e-06,9.696542222164682e-05,1.5981301807024127e-06,9.588781084214476e-05,1.7960189658368145e-08,1.0776113795020887e-06,0.0003358382351206433,0.0004316144035914485,0.00048088975988113455,0.00050883783311549,0.000611291346310087,3.088107703007377e-07,0,0.013221705398629168,-0.004704638054020549,-0.004235069928785104,0.009419556421729383,-0.013385203891867379,0.04108635259991722,-0.3338737865796674,-0.7286312002531348,0.001581803415053873,0.003128870806137038,0.14391403930120267,0.6354138328196746,0.0013676728827927143,0.0010828875545488559
macro_core_filtered_state_uncertainty,macro_core,"Фильтрация: инфляция, выпуск и ставка",full_information_rule,Полная информация,-1,700,filtered_state_uncertainty,1,1.5981301807024127e-06,9.588781084214476e-05,1.5981301807024127e-06,9.588781084214476e-05,0.0,0.0,0.0,0.0,0.0004654323155184809,0.0005088378331154898,0.0006112913463100868,3.088107703007377e-07,0,-0.031709767650578376,-0.03297817784001511,-0.05742190979093999,-0.015597682180930415,0.032116328236732994,-0.0011261475072910088,-0.2764621131111479,-0.769618018537291,0.0013977730680364564,0.002928285601548661,0.0,0.0,0.0,0.0
macro_core_filtered_state_uncertainty,macro_core,"Фильтрация: инфляция, выпуск и ставка",learning_policy,Learning-based policy,22,700,filtered_state_uncertainty,1,2.342613536523279e-06,0.00014055681219139673,1.5981301807024127e-06,9.588781084214476e-05,7.444833558208665e-07,4.466900134925199e-05,0.0007721900401028884,0.0008812814657085706,0.000981053742964332,0.00050883783311549,0.000611291346310087,3.088107703007377e-07,0,-0.0010041878824658516,-0.012233222249968811,-0.02913585042274038,0.0030487343545123834,0.001016754354586061,0.029845574168185784,-0.4049009003482925,-0.8098707240575558,0.001530770460624109,0.003261507875654643,0.23883752766863653,0.9564794568254995,0.0020677946772744704,0.0010540305400442984
macro_core_raw_observations,macro_core,"Фильтрация: инфляция, выпуск и ставка",classical_filtered_rule,Classical: filter + fixed rule,-1,700,raw_observations,1,1.6160903703607804e-06,9.696542222164682e-05,1.5981301807024127e-06,9.588781084214476e-05,1.7960189658368145e-08,1.0776113795020887e-06,0.0003358382351206433,0.0004316144035914485,0.00048088975988113455,0.00050883783311549,0.000611291346310087,3.088107703007377e-07,0,0.013221705398629168,-0.004704638054020549,-0.004235069928785104,0.009419556421729383,-0.013385203891867379,0.04108635259991722,-0.3338737865796674,-0.7286312002531348,0.001581803415053873,0.003128870806137038,0.14391403930120267,0.6354138328196746,0.0013676728827927143,0.0010828875545488559
macro_core_raw_observations,macro_core,"Фильтрация: инфляция, выпуск и ставка",full_information_rule,Полная информация,-1,700,raw_observations,1,1.5981301807024127e-06,9.588781084214476e-05,1.5981301807024127e-06,9.588781084214476e-05,0.0,0.0,0.0,0.0,0.0004654323155184809,0.0005088378331154898,0.0006112913463100868,3.088107703007377e-07,0,-0.031709767650578376,-0.03297817784001511,-0.05742190979093999,-0.015597682180930415,0.032116328236732994,-0.0011261475072910088,-0.2764621131111479,-0.769618018537291,0.0013977730680364564,0.002928285601548661,0.0,0.0,0.0,0.0
macro_core_raw_observations,macro_core,"Фильтрация: инфляция, выпуск и ставка",learning_policy,Learning-based policy,22,700,raw_observations,1,1.6350908430196825e-06,9.810545058118095e-05,1.5981301807024127e-06,9.588781084214476e-05,3.696066231727007e-08,2.217639739036204e-06,0.0003750494309750298,0.0005040032474828567,0.0005399816868218928,0.00050883783311549,0.0006112913463100869,3.088107703007377e-07,0,-0.010391882170056814,-0.03450526689636746,-0.03781676472211555,0.0002028467046330675,0.010522858786244113,-0.0034059298285926687,-0.32908830952051416,-0.7005598818467151,0.0014976770922463523,0.0032650960890693165,0.13611329346860024,0.6087863966055047,0.0013179545944884685,0.0008651970047344748
thin_information_filtered_state,thin_information,Фильтрация: инфляция и ставка,classical_filtered_rule,Classical: filter + fixed rule,-1,700,filtered_state,1,1.709182726869787e-06,0.00010255096361218721,1.5981301807024127e-06,9.588781084214476e-05,1.1105254616737445e-07,6.663152770042467e-06,0.0003693303850972654,0.0004658736855637132,0.0005720239334226414,0.0006803154666436426,0.0004206027786082018,1.1225902447677249e-06,0,0.007598525755149822,-0.017599895451458902,-0.02169414444982692,0.005899737983234679,-0.007692916700590507,0.021832956218537092,-0.3692642652090354,-0.7412700222100618,0.0015182998199606557,0.003151365698566444,0.18656484608812657,0.5827068406375786,0.0012969058938199218,0.001020606611737862
thin_information_filtered_state,thin_information,Фильтрация: инфляция и ставка,full_information_rule,Полная информация,-1,700,filtered_state,1,1.5981301807024127e-06,9.588781084214476e-05,1.5981301807024127e-06,9.588781084214476e-05,0.0,0.0,0.0,0.0,0.0004654323155184809,0.0006803154666436424,0.00042060277860820163,1.1225902447677249e-06,0,-0.031709767650578376,-0.03297817784001511,-0.05742190979093999,-0.015597682180930415,0.032116328236732994,-0.0011261475072910088,-0.2764621131111479,-0.769618018537291,0.0013977730680364564,0.002928285601548661,0.0,0.0,0.0,0.0
thin_information_filtered_state,thin_information,Фильтрация: инфляция и ставка,learning_policy,Learning-based policy,22,700,filtered_state,1,1.5626969328471075e-06,9.376181597082644e-05,1.5981301807024127e-06,9.588781084214476e-05,-3.543324785530495e-08,-2.125994871318297e-06,0.0002843026842672717,0.0003849805316050226,0.0005051395759072563,0.0006803154666436423,0.00042060277860820163,1.1225902447677249e-06,0,-0.02457569076696117,-0.05852302641295992,-0.06759923474794623,-0.006731692220576376,0.02488898977057396,-0.03925964654755143,-0.3287396185378486,-0.7763607315425635,0.0014065003223698858,0.003295885815488217,0.1378246785414044,0.4100556373287959,0.0008951885335517495,0.0010200911966638943
