scenario_name,scenario_label,misspecification_name,misspecification_label,evaluation_seed,switching_classical_cumulative_loss,switching_classical_policy_volatility,misspecified_cumulative_loss,misspecified_mean_loss,misspecified_policy_volatility,misspecified_corner_share,misspecified_unstable
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",wrong_persistence,Normal-biased regime persistence,902,0.015012999962361325,0.0024099874906389008,0.014874272233328587,0.0002479045372221431,0.002399065149591616,0.15,0
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",wrong_persistence,Normal-biased regime persistence,903,0.0016684492181610023,0.0018045284952410768,0.0016593082831467103,2.765513805244517e-05,0.0017942470334749584,0.0,0
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",wrong_persistence,Normal-biased regime persistence,904,0.0029807429643692943,0.0015493497926901455,0.002944427645310965,4.907379408851608e-05,0.0015426401062244711,0.0,0
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",wrong_persistence,Normal-biased regime persistence,905,0.010983005033763737,0.0026480340263054488,0.01072961023661759,0.00017882683727695985,0.0026579129647879693,0.11666666666666667,0
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",wrong_persistence,Normal-biased regime persistence,906,0.010884272951158017,0.0038087066608171486,0.010780478568776179,0.00017967464281293632,0.003813064660586175,0.016666666666666666,0
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",wrong_persistence,Normal-biased regime persistence,907,0.0018782814057803842,0.0019424274863863885,0.0018313729731913612,3.052288288652269e-05,0.001902070074665129,0.0,0
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",wrong_persistence,Normal-biased regime persistence,908,0.007677478707457681,0.004398461903753272,0.0076243621988541475,0.00012707270331423578,0.004356911729054268,0.05,0
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",wrong_persistence,Normal-biased regime persistence,909,0.012717562875304947,0.0031162623229617544,0.012484688842348697,0.00020807814737247828,0.003097710697693371,0.13333333333333333,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",inflation_only_rule,Inflation-only simple rule,900,0.0031279307977321244,0.0017284519405623407,0.0005847210845240777,9.745351408734628e-06,0.00041624818965572285,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",inflation_only_rule,Inflation-only simple rule,901,0.016125024646321387,0.004281602209894989,0.002039890124591082,3.3998168743184704e-05,0.0010026567423409632,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",inflation_only_rule,Inflation-only simple rule,902,0.013344483318880941,0.002435524899076507,0.0020065242141725686,3.344207023620948e-05,0.0009403202524691956,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",inflation_only_rule,Inflation-only simple rule,903,0.0016687368610363825,0.0018071705582173284,0.0008517625417217688,1.419604236202948e-05,0.0007157038173854523,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",inflation_only_rule,Inflation-only simple rule,904,0.0029700375441018756,0.00154227053805814,0.0007092795955719497,1.1821326592865828e-05,0.0005018425199247812,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",inflation_only_rule,Inflation-only simple rule,905,0.010809653230149764,0.0029895393912478187,0.00178828499573115,2.98047499288525e-05,0.0012412644278757253,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",inflation_only_rule,Inflation-only simple rule,906,0.011227994086696209,0.0035677369978232244,0.0017061888143729761,2.84364802395496e-05,0.0011340650569195377,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",inflation_only_rule,Inflation-only simple rule,907,0.005470464129067795,0.00319620944099753,0.0009828363222424594,1.6380605370707656e-05,0.0009079617106347576,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",inflation_only_rule,Inflation-only simple rule,908,0.008820432430227393,0.005285978080496156,0.0013165019374208832,2.194169895701472e-05,0.001251649714954614,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",inflation_only_rule,Inflation-only simple rule,909,0.01573211443513926,0.002594604041379077,0.00141991387222599,2.36652312037665e-05,0.0006267143303922323,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",normal_only_filter,Single-regime normal-only filter,900,0.0031279307977321244,0.0017284519405623407,0.002945874684847437,4.909791141412395e-05,0.0016534282894630986,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",normal_only_filter,Single-regime normal-only filter,901,0.016125024646321387,0.004281602209894989,0.01580464630789585,0.0002634107717982642,0.004163608548909932,0.23333333333333334,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",normal_only_filter,Single-regime normal-only filter,902,0.013344483318880941,0.002435524899076507,0.012995746881367934,0.00021659578135613223,0.0023734960633471102,0.11666666666666667,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",normal_only_filter,Single-regime normal-only filter,903,0.0016687368610363825,0.0018071705582173284,0.0016562910257583972,2.760485042930662e-05,0.0017910535270999112,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",normal_only_filter,Single-regime normal-only filter,904,0.0029700375441018756,0.00154227053805814,0.0029383928959547407,4.897321493257901e-05,0.0015418377976499707,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",normal_only_filter,Single-regime normal-only filter,905,0.010809653230149764,0.0029895393912478187,0.010110404972497506,0.0001685067495416251,0.0032701339354456334,0.23333333333333334,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",normal_only_filter,Single-regime normal-only filter,906,0.011227994086696209,0.0035677369978232244,0.010398404861694143,0.00017330674769490238,0.0035125529859207226,0.13333333333333333,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",normal_only_filter,Single-regime normal-only filter,907,0.005470464129067795,0.00319620944099753,0.005062043101730743,8.436738502884572e-05,0.0030876826188145487,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",normal_only_filter,Single-regime normal-only filter,908,0.008820432430227393,0.005285978080496156,0.00758069994962895,0.0001263449991604825,0.0046730043212077,0.06666666666666667,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",normal_only_filter,Single-regime normal-only filter,909,0.01573211443513926,0.002594604041379077,0.015367736804313092,0.00025612894673855154,0.0026526229096567842,0.16666666666666666,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",overstated_noise,Overstated measurement noise,900,0.0031279307977321244,0.0017284519405623407,0.0026394989774251847,4.399164962375308e-05,0.0016140681589779057,0.0,0
