scenario_name,phi_pi,phi_y,rho_i,validation_cumulative_loss,validation_policy_volatility,validation_unstable_episodes,rule_family,alpha
macro_core_moderate_gap,2.5,0.25,0.3,0.02078909324317342,0.0017838521588459874,0,optimized_linear_estimated_state,
macro_core_moderate_gap,1.5,0.5,0.5,0.020802623261120534,0.001797187989624098,0,optimized_linear_estimated_state,
macro_core_moderate_gap,2.0,0.5,0.5,0.02091401493389796,0.0017390607099993412,0,optimized_linear_estimated_state,
macro_core_moderate_gap,3.0,0.25,0.3,0.020920062335878006,0.001707888066601175,0,optimized_linear_estimated_state,
macro_core_moderate_gap,2.5,0.5,0.5,0.020983890145545643,0.0016894432190320378,0,optimized_linear_estimated_state,
macro_core_moderate_gap,1.0,0.5,0.3,0.02102230385588168,0.0016757659683080735,0,optimized_linear_estimated_state,
macro_core_moderate_gap,3.0,0.5,0.5,0.02105570045270952,0.0016462637106994208,0,optimized_linear_estimated_state,
macro_core_moderate_gap,1.5,0.5,0.3,0.02112354003851067,0.0016133188268971442,0,optimized_linear_estimated_state,
macro_core_moderate_gap,2.0,0.5,0.3,0.02120787722018391,0.0015602642955139937,0,optimized_linear_estimated_state,
macro_core_moderate_gap,2.5,0.5,0.3,0.021293181300692427,0.0015201889208254203,0,optimized_linear_estimated_state,
macro_core_moderate_gap,3.0,0.5,0.3,0.021343849544760832,0.0014912642443927451,0,optimized_linear_estimated_state,
macro_core_moderate_gap,0.5,0.0,0.85,0.0005329754363163098,7.485840640252797e-05,0,history_observables_rule,0.8
macro_core_moderate_gap,0.5,0.0,0.7,0.0005390886346336437,0.00010098041407786255,0,history_observables_rule,0.8
macro_core_moderate_gap,0.5,0.0,0.85,0.0005391937513566982,9.623840620624794e-05,0,history_observables_rule,0.5
macro_core_moderate_gap,0.5,0.0,0.85,0.000544709370580353,0.00010326720828233809,0,history_observables_rule,0.2
macro_core_moderate_gap,0.5,0.0,0.5,0.000545265468674395,0.00011637574692830036,0,history_observables_rule,0.8
macro_core_moderate_gap,0.5,0.0,0.3,0.0005506045979507053,0.0001240721992804194,0,history_observables_rule,0.8
macro_core_moderate_gap,0.5,0.0,0.7,0.0005530770698795322,0.00013942007641788598,0,history_observables_rule,0.5
macro_core_moderate_gap,1.0,0.0,0.85,0.0005612971929373822,0.00015948965381692724,0,history_observables_rule,0.8
