t,innovation_x,standardized_innovation_x,innovation_pi,standardized_innovation_pi,innovation_i,standardized_innovation_i
82,0.019624215718576466,1.0150102224104587,-0.009812029240266458,0.16938156707694157,-0.008776154272461117,-0.8992737590706809
83,-0.005870892771668392,-0.30365627158685526,0.00824941812981926,0.370822723461101,0.012792324824579808,0.9211905384020814
84,-0.009586059013896692,-0.49581333752485224,0.007979446252180333,0.17000379466806897,0.005624928091687227,-0.41967133390288125
85,-0.005794889176970561,-0.29972518834436856,0.016443600448254297,1.0244397155015947,0.020329788033490847,-0.2204280611744607
86,0.012253158019189194,0.6337619207128192,-0.02323135958392442,-1.2509620841818654,-0.029965769498293323,-0.49631506304009737
87,-0.020610097435748154,-1.0660023249926571,0.018165133549831593,0.4455623982391737,0.019420669776561178,0.6390840585807596
88,0.041055895861000016,2.1235067218348505,-0.03969023317895568,-1.1655648380286787,-0.03743489958334611,0.38705585130937825
89,0.0020382080371455745,0.10542087504386567,0.01542855325401341,1.3221881799549982,0.02870775691080171,1.4395239526201131
90,0.0028414729193175104,0.14696760885478968,0.004478574805378397,0.4924465907687876,0.008657405624937302,0.2369191324598907
91,-0.035189140962695924,-1.8200644707125089,0.030300566522619744,0.7040999768495548,0.020728878873752275,-1.9027204125521098
92,0.03590476402033427,1.8570781648805752,-0.027382794209517988,-0.4381104707706148,-0.02722927328734341,-0.9978870355820595
93,0.02400845157804958,1.241773129965091,-0.021406421430849785,-0.5385486876596011,-0.011974313963977093,2.146329474285285
94,-0.02654643614592746,-1.3730436132118429,0.028780039257407276,1.0008506638695205,0.03170151669399293,0.5350907413768481
95,-0.00225732659677906,-0.11675419817572007,-0.01481712273652088,-1.2842719167570367,-0.02518212761139214,-0.7197079625502343
96,-0.05302981784926691,-2.7428259035401097,0.02403573240749205,-0.654340426073861,0.01321261080338874,0.6127062412343437
97,0.003060659139156551,0.1583044315303341,-0.0066301408040359685,-0.3780908677125188,-0.00024137190592818554,2.093140663744349
98,-0.024187982280419622,-1.251058876756471,0.004514933264338307,-0.8099211967719343,-0.010332343413265308,-1.5684470715615788
99,-0.0079275014927121,-0.41002887293274426,0.01518509679147663,0.8216338342635633,0.02053307222265246,0.5632693302666922
100,0.001816602791685721,0.09395893471936098,-0.010947665279795935,-0.7806240524639722,-0.019266339802409986,-1.117382077006095
101,0.011867374147204934,0.613808278777746,-0.007029453555323015,0.015512445724990597,-0.0028152539612845175,0.5270625578736966
102,-0.017604617126234866,-0.9105518712697286,0.026229637046911683,1.2303578680125231,0.026349960177798733,-0.9595232436618666
103,0.024649927790973455,1.2749517763318112,-0.026231554250125338,-0.8902920728204938,-0.025707451003586006,0.29574534901542665
104,-0.01041304230872167,-0.5385868429758474,-0.012233908575249119,-1.4732156323147159,-0.019560349836932632,0.7404503877463485
105,0.0180603379258066,0.9341228142701418,-0.013026248096793201,-0.1610837071612339,-0.01369815055441245,-0.7863165328893151
106,-0.005662302310949944,-0.29286748629409504,0.018480940130556952,1.192440196624457,0.019013779252193903,-1.3557279522614714
107,0.03258677671152358,1.6854641200409115,0.0002895360334026993,1.5965800193964612,0.01644863461201337,0.35674043730701765
108,-0.0022422245188550745,-0.11597308347068887,0.007836496299063071,0.5132988512078533,0.008544951645658494,-0.46689599279741134
109,-0.013616318000798388,-0.7042677353632583,0.005078936070158123,-0.2546801929809986,-0.0031355135199387756,-1.1425021304052325
110,0.014152710510113489,0.7320112074075372,-0.022946644284504297,-1.1366496751493715,-0.029097120184344683,-0.600950463758258
111,-0.0006005964917383715,-0.031064251810136886,-0.004184581717553251,-0.3609157616091883,-0.005736864894894202,0.15356930964326365
112,-0.0021209148278768988,-0.10969866322449551,0.011374526965039596,0.7997866801846379,0.01637849366508621,0.2326072734348338
113,0.03689451207133671,1.9082702432690808,-0.04058596316378204,-1.4375655297382015,-0.03954967320996592,0.6639644786678202
