t,filtered_r_n,filtered_std_r_n,lower_95_r_n,upper_95_r_n,filter_error_r_n,filtered_u,filtered_std_u,lower_95_u,upper_95_u,filter_error_u,filtered_nu,filtered_std_nu,lower_95_nu,upper_95_nu,filter_error_nu
46,-0.0024036389761813155,0.001125794356298864,-0.004610195914527089,-0.00019708203783554232,0.0005139180087429742,-0.0025755179272622503,0.0007150903470662122,-0.003977095007512026,-0.0011739408470124745,-0.0005593344894056131,-0.0011370024043126075,0.0019347443994529822,-0.004929101427240453,0.0026550966186152376,0.0011504590868726175
47,-0.010704836936065613,0.001125794356298864,-0.012911393874411385,-0.00849827999771984,-0.0006386117736798709,-0.004653969595008783,0.0007150903470662122,-0.0060555466752585585,-0.003252392514759007,0.00019021904458976,0.0008092214343580248,0.0019347443994529822,-0.0029828775885698206,0.00460132045728587,7.901536974344288e-05
48,-0.00652708038175439,0.001125794356298864,-0.008733637320100162,-0.004320523443408617,-8.419167221806502e-05,-0.006201870136040516,0.0007150903470662122,-0.007603447216290291,-0.00480029305579074,0.000327841153854631,-0.00029866468963033995,0.0019347443994529822,-0.004090763712558185,0.003493434333297505,0.00012669466655645272
49,0.011223446816530668,0.001125794356298864,0.009016889878184895,0.01343000375487644,-0.0012931818256310158,-0.0069199624473864465,0.0007150903470662122,-0.008321539527636222,-0.005518385367136671,0.0004368489400779522,-0.0024497074743488204,0.0019347443994529822,-0.006241806497276665,0.0013423915485790247,-0.0015691691939212927
50,0.018793389750695656,0.001125794356298864,0.01658683281234988,0.02099994668904143,0.0023299561579491236,-0.009750982387368785,0.0007150903470662122,-0.011152559467618561,-0.008349405307119008,-0.001466482133336229,-0.0006594717929100975,0.0019347443994529822,-0.0044515708158379425,0.0031326272300177477,0.0033301038614024464
51,0.006426031700689554,0.001125794356298864,0.004219474762343781,0.008632588639035326,0.0013747183361635783,-0.008100619652534152,0.0007150903470662122,-0.009502196732783928,-0.006699042572284376,0.00020419859950597183,-0.0029542539148534855,0.0019347443994529822,-0.006746352937781331,0.0008378451080743596,-0.0007645012007291745
52,0.002029415723269211,0.001125794356298864,-0.00017714121507656205,0.004235972661614984,0.0005426154938319508,-0.013669356715735208,0.0007150903470662122,-0.015070933795984984,-0.012267779635485431,0.00034896696796879456,-0.002391611402586288,0.0019347443994529822,-0.006183710425514133,0.001400487620341557,-0.0014579003271659075
53,0.007224445359734519,0.001125794356298864,0.005017888421388747,0.009431002298080292,-0.0006372258837969678,-0.01866619693291357,0.0007150903470662122,-0.020067774013163345,-0.017264619852663792,0.0012428877610278152,0.0006452122666647199,0.0019347443994529822,-0.0031468867562631253,0.0044373112895925645,-0.00419174465660422
54,-0.005040700097194035,0.001125794356298864,-0.007247257035539809,-0.002834143158848262,-0.0005335253906017193,0.0065853228238248185,0.0007150903470662122,0.005183745743575043,0.007986899904074595,0.0007729107671828363,0.0030465146362730565,0.0019347443994529822,-0.0007455843866547886,0.006838613659200902,-0.0028636537789900663
55,0.009525610773333151,0.001125794356298864,0.0073190538349873786,0.011732167711678924,0.000670877520268516,0.011617674789248408,0.0007150903470662122,0.010216097708998631,0.013019251869498184,-0.0010367568926145307,0.00068152520309811,0.0019347443994529822,-0.003110573819829735,0.004473624226025956,0.0005419568071096652
