scenario,scenario_label,period,hidden_regime,full_information_rate,filtered_rate,rate_gap,abs_rate_gap,full_policy_loss,filtered_policy_loss,excess_loss,full_inflation_gap,filtered_inflation_gap,full_output_gap,filtered_output_gap,full_low_liquidity_gap,filtered_low_liquidity_gap,full_mean_mpc_gap,filtered_mean_mpc_gap,stress_probability
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",7,0,0.0016332941225698887,0.0013349734894664142,-0.0002983206331034745,0.0002983206331034745,8.974179858120014e-06,7.269501568484258e-06,-1.7046782896357561e-06,0.0007428898137556827,0.0007015462775077983,0.004103729681674737,0.0036816326959112824,-0.00046705861333149536,-0.0004928459094274171,-0.003559162969381539,-0.0036073556193679415,0.42727368762642115
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",8,0,0.0015979664677906152,0.0011755493459999137,-0.00042241712179070146,0.00042241712179070146,3.4198524495276484e-06,1.4179459319062711e-06,-2.0019065176213775e-06,0.0005522871804900845,0.0004554981206516033,0.002495904211957803,0.0015551183820617176,-0.0005354366285568447,-0.0005488063366247543,-0.002555574687716133,-0.0024819740872213804,0.4423745388971539
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",9,0,0.0014223665350906107,0.0008041205978159441,-0.0006182459372746666,0.0006182459372746666,5.787861547782807e-07,1.1562266836094484e-07,-4.6316348641733585e-07,0.0003109319167269184,0.00016527430571808204,0.0009803731239896299,-0.00040350738898185063,-0.0004208646375411284,-0.0004078252156028779,-0.0016067645371396087,-0.0013843130638224357,0.42114977921485464
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",10,0,0.0013585956313761686,0.0006783078880519038,-0.0006802877433242648,0.0006802877433242648,1.9357867858735607e-06,8.040165292528769e-08,-1.855385132948273e-06,0.00047690780260071955,0.00026725144530274366,0.0018483194514391098,-0.00012795996258184645,-0.0002253676535370394,-0.00018653725475293193,-0.0026099707331894454,-0.002278952439197689,0.32856687723699224
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",11,0,0.0011592118752648953,0.00046451056147114666,-0.0006947013137937486,0.0006947013137937486,1.8027135766681767e-07,2.150486936364103e-06,1.9702155786972853e-06,0.00040021222365765614,0.00015787103040931766,0.0001903357012846509,-0.0020607174523834893,-0.00041589440814509724,-0.0003388998953854246,-0.002702586734017982,-0.0021785728496311533,0.2895517202008694
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",12,0,0.0005584475150493532,-5.6754549278185983e-05,-0.0006152020643275392,0.0006152020643275392,1.2312537543503955e-05,2.641433362379108e-05,1.4101796080287126e-05,-0.00017214352524756659,-0.0004219227375966523,-0.004952748380322594,-0.007241923634160444,-0.0003637464127922436,-0.0002495150774615946,-0.0004203729976484129,0.00019729125256029109,0.25699060214229835
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",13,0,-0.00046392728343407926,-0.0010488143602877488,-0.0005848870768536696,0.0005848870768536696,4.347079045760458e-05,6.463971424593426e-05,2.1168923788329684e-05,-0.0010550547876103937,-0.0012795795131182192,-0.009198411530402004,-0.011220800451136397,-0.00013421007446456402,6.9489273033128196e-06,0.0043344833445498054,0.0049895269669312705,0.5302378652688325
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",14,0,-0.0011794341857400807,-0.0018136058052269793,-0.0006341716194868986,0.0006341716194868986,5.641529934249474e-05,7.765010835736383e-05,2.1234809014869087e-05,-0.0011243677036646552,-0.0013274459184564708,-0.010500047533519859,-0.012317365821735139,0.0006215976558280874,0.0007663427395543855,0.0031534555493172214,0.003729457357181967,0.2742448290072816
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",15,0,-0.0017903621005366634,-0.002508762161235442,-0.0007184000606987786,0.0007184000606987786,7.098316169802893e-05,9.539304561469351e-05,2.4409883916664583e-05,-0.0012711455560765494,-0.0014785653778983242,-0.011776985100393215,-0.013651573383314389,0.0006185646751187888,0.0007488345386281901,0.003774258361889775,0.004274049607206743,0.14461794450049106
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",16,0,-0.002103348802186193,-0.002903987412601961,-0.0008006386104157681,0.0008006386104157681,4.1001396812510885e-05,6.26668431748464e-05,2.1665446362335518e-05,-0.0012242167525809214,-0.0014556778886669298,-0.008887946008098906,-0.011003638935309238,0.0009224877831105032,0.0010404386930582758,0.004726217412144094,0.005228257021769688,0.16977112796176033
