scenario,scenario_label,period,hidden_regime,policy_name,policy_label,filtered_rstar_gap,true_rstar_gap,filtered_productivity_gap,true_productivity_gap,filtered_fiscal_gap,true_fiscal_gap,filtered_inflation_gap,true_inflation_gap,filtered_output_gap,true_output_gap,filtered_low_liquidity_gap,true_low_liquidity_gap,filtered_mean_mpc_gap,true_mean_mpc_gap,p_normal,p_stress,policy_rate
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",55,1,classical_filtered_rule,Classical: switching filter + fixed rule,2.5238951002372647e-05,0.00016129463347876665,-7.878517372868953e-05,-0.0007131606389615262,-1.871037122810954e-05,-0.00012613885917910875,0.0011199365059208913,0.00115384925962867,0.006218152157367958,0.005904730771140943,-0.0013181595137384708,-0.0009878302663143847,-0.003862946856542717,-0.006698265863600505,0.21274555510748228,0.7872544448925177,0.002689051192788624
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",56,1,classical_filtered_rule,Classical: switching filter + fixed rule,-1.0225829966936196e-05,0.0002251187153315885,0.00025418871162855223,1.201617374687984e-06,5.0136898182259256e-05,9.263196279680084e-05,0.0006573044822628899,0.0007431658836256411,0.0016004348298944097,0.002025167187944915,-0.0015867028140383193,-0.001763803757623693,-0.0023551092576462387,-0.003566035659249912,0.18354721043824423,0.8164527895617557,0.0022350714091012966
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",57,1,classical_filtered_rule,Classical: switching filter + fixed rule,-4.7372227908940465e-05,0.0002721547739746196,0.0005945195304914053,-6.011835193183441e-05,0.00011248799759739919,0.00011869179968084133,-3.8099400485402005e-05,7.260741681490521e-05,-0.004181708670025184,-0.004482956126204698,-0.001077295543566591,-0.0011712140213358806,-0.0005719621822229673,-0.00012259174452021395,0.21763567780397636,0.7823643221960236,0.0013763795126538502
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",58,1,classical_filtered_rule,Classical: switching filter + fixed rule,-4.2507795091961296e-05,0.0004642830486671783,0.00044052953079381564,-0.0006757461191248242,7.43167421673766e-05,0.00016481335999462068,-0.0006549896796465729,-0.0007348774811394615,-0.005134169407465129,-0.0054467291688392976,-3.215695594218237e-05,0.00010217133570310803,0.002515696478132172,0.0041981101062274215,0.18607946545059142,0.8139205345494086,0.0004634366117092065
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",59,1,classical_filtered_rule,Classical: switching filter + fixed rule,-1.5632527857216916e-06,0.0002750797023611305,0.00010356731683465951,-0.0008759380545993603,-5.916250720454865e-07,-2.6656010320294028e-05,-0.00023711354436228485,-0.00024802025916898326,-0.0025918799105667566,-0.00209377270361128,0.0005736014614509957,0.0012840457923488904,-0.00024034196671801346,-0.0004574002545848963,0.5023178048709233,0.4976821951290767,0.00012004006075144646
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,0,1,classical_filtered_rule,Classical: switching filter + fixed rule,6.27003424686455e-06,0.00033100065450816145,-4.363768266200828e-05,-0.0007201203459355162,-5.725823457957664e-06,4.603493288882023e-05,0.00030332918748332956,0.00017702351520466653,0.002594853720034475,0.0028835615766388024,-0.0002320132390383284,3.2228206900180545e-05,-0.0008440314474638522,-0.00031173936189731496,0.8026326603673634,0.19736733963263667,0.0012356861591428505
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,1,1,classical_filtered_rule,Classical: switching filter + fixed rule,2.0555300883034002e-05,0.00063356493930696,-0.00016878812759172528,-0.0005975978847777404,-2.8855097879839366e-05,-0.00028285121216975695,0.0007989033425493603,0.0007154684798472348,0.007326477151631414,0.005856888105103209,-0.00018344867289785718,-0.0002975923191180844,-0.0014690689317744454,0.0005630269123008275,0.7827916553447526,0.2172083446552474,0.0015053962989982957
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,2,1,classical_filtered_rule,Classical: switching filter + fixed rule,1.9146663376333103e-05,0.0006494028893608803,-0.0001496066324028556,-0.0003052279574742004,-2.2916914590332625e-05,-0.00041228682983806663,0.000871179743251416,0.001046366625790289,0.007677174018036833,0.010510954526970755,-0.0004445334990945628,-0.0004276080750784889,-0.002347746099090766,-0.0007595752686581363,0.7892716069058802,0.21072839309411984,0.0017394463184512254
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,3,1,classical_filtered_rule,Classical: switching filter + fixed rule,6.82376768239887e-05,0.00027848220038545864,-0.0005812635602715944,0.0004153758522630038,-0.00010219863703074753,-0.0003594675579325241,0.0015641489122701056,0.0015543461941083276,0.013189111509377571,0.012744330762091572,-0.0007602978747526514,-0.001223942971131666,-0.005480724490494176,-0.004510420032464445,0.6624499513660665,0.3375500486339335,0.002436542418086261
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,4,0,classical_filtered_rule,Classical: switching filter + fixed rule,3.2767757157761544e-05,-0.00013866253065943456,-0.0002398936610911686,0.0006260772199272844,-2.9193033265452774e-05,2.6157892232683312e-05,0.0010972934316658069,0.0010343259972767334,0.009148804854106483,0.012371268989084465,-0.0011561118771290673,-0.0011532139106109095,-0.0029297160133349353,-0.0010441258648005813,0.7453239419109906,0.25467605808900945,0.0025522722460863175
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,5,0,classical_filtered_rule,Classical: switching filter + fixed rule,4.737801075836844e-05,0.00024451187236321453,-0.0003649391600407069,0.0007795631440476972,-5.2833827570534616e-05,5.019304857693109e-05,0.0013688090346054207,0.001488700099788885,0.011680138401004288,0.013392485763279713,-0.0009838879446391444,-0.0007056003399307905,-0.00407814388547781,-0.004062917161536864,0.7463720672658817,0.2536279327341183,0.0028547732310980328
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,6,0,classical_filtered_rule,Classical: switching filter + fixed rule,4.2679923997122544e-05,0.00028487920670300447,-0.00031294909771433074,4.273424483877404e-05,-4.087042585146167e-05,-0.0003248151192089988,0.0013307954387895414,0.00129927300306218,0.01127430577637752,0.013146833158994573,-0.0010993325179213364,-0.0009202292602722027,-0.003937087524738597,-0.0024688752006486034,0.7566865808967592,0.2433134191032408,0.0030327896530372104
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,7,0,classical_filtered_rule,Classical: switching filter + fixed rule,5.7493083834029535e-05,0.0002144509081588942,-0.0004391336940318244,-0.00014245071343789166,-6.422805932109996e-05,-0.0002760408713988532,0.0015922912675149288,0.0016292862137531911,0.013507159732244577,0.014955204708552194,-0.0011413145190520733,-0.0006271160564141864,-0.0048988967581911425,-0.004518092337688511,0.7362308772551281,0.2637691227448719,0.003363250242617146
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,8,0,classical_filtered_rule,Classical: switching filter + fixed rule,6.512414807439371e-05,0.00011791373106158848,-0.0004961626543369701,-0.0001490655812135355,-7.236583910529363e-05,0.00019979625260533706,0.0017784543031021931,0.0015509750691275496,0.01500719331308508,0.016236303874715672,-0.0013334395257900465,-0.0009231394159591245,-0.005382695197493916,-0.003326211428970686,0.7149786022585614,0.28502139774143864,0.003736886599890998
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,9,0,classical_filtered_rule,Classical: switching filter + fixed rule,3.438914034012466e-05,0.0002469846702943809,-0.00020926619277617615,-0.0005316412205904246,-1.5016610107843078e-05,-0.0005929547848234378,0.0014180658354075502,0.0012812561283310122,0.012018098596222247,0.013720845156062852,-0.001401919793065674,-0.0008925549343981432,-0.0036045908440845245,-0.002254069662359869,0.7648009532816697,0.23519904671833017,0.0037149456853174676
