scenario,scenario_label,period,Y_deviation,Y_level,Y_pct,output_gap_deviation,output_gap_level,output_gap_pct,pi_deviation,pi_level,pi_pct,i_deviation,i_level,i_pct,C_deviation,C_level,C_pct,I_deviation,I_level,I_pct,N_deviation,N_level,N_pct,w_deviation,w_level,w_pct,r_deviation,r_level,r_pct,ra_deviation,ra_level,ra_pct,rb_deviation,rb_level,rb_pct,A_deviation,A_level,A_pct,B_deviation,B_level,B_pct,tax_deviation,tax_level,tax_pct
baseline,Базовое правило,10,0.0001233404547987806,1.0001233404547987,0.012334045479878061,0.0001233404547986705,0.0001233404547986705,0.01233404547986705,-4.820176429513281e-05,-4.8201764708731615e-05,-0.0048201764295132815,-6.23145636194578e-05,0.012437685435260155,-0.0062314563619457804,-1.749799063988089e-05,0.5502892472488703,-0.0031796794771732687,0.00017423000697086577,0.20017423000697016,0.08711500348543319,0.0002230062329977578,1.0002230062329978,0.02230062329977578,-8.575535661562854e-05,0.6599142446433844,-0.012993235850852807,-1.5837995906578414e-05,0.012484162004093422,-0.0015837995906578415,-1.5837995906542446e-05,0.012484162004093413,-0.0015837995906542446,-1.5837995906578875e-05,-0.0025158379959065776,-0.0015837995906578875,0.00477299230386663,12.964772992303882,0.03682864431995852,-0.003149037235538943,1.0368509627645195,-0.3027920418787275,-0.00010031178732999857,0.3559602942732761,-0.010031178732999857
baseline,Базовое правило,11,0.0001197173669375687,1.0001197173669376,0.01197173669375687,0.00011971736693761059,0.00011971736693761059,0.01197173669376106,-4.578281767273707e-05,-4.5782818086335874e-05,-0.004578281767273707,-5.973306122619189e-05,0.01244026693765342,-0.0059733061226191885,-1.2376414036618932e-05,0.5502943688254736,-0.002249002786842517,0.00016364661046652795,0.20016364661046582,0.08182330523326427,0.0002082391772459946,1.000208239177246,0.02082391772459946,-7.582585464076884e-05,0.6599241741453593,-0.011488765854661945,-1.5960230696226963e-05,0.012484039769303774,-0.0015960230696226963,-1.5960230696165922e-05,0.01248403976930379,-0.0015960230696165922,-1.5960230696226638e-05,-0.0025159602306962254,-0.0015960230696226638,0.004508235534716576,12.964508235534732,0.03478576801478835,-0.002936537284159435,1.037063462715899,-0.28235935424608366,-0.00010093092987067953,0.3559596751307354,-0.010093092987067953
baseline,Базовое правило,12,0.00011565363397587233,1.000115653633976,0.011565363397587233,0.00011565363397592066,0.00011565363397592066,0.011565363397592066,-4.372314811264149e-05,-4.372314852624029e-05,-0.004372314811264149,-5.715154823492615e-05,0.012442848450644686,-0.0057151548234926144,-8.258522412263325e-06,0.5502984867170979,-0.0015007125541717584,0.0001534821476832926,0.20015348214768258,0.07674107384164658,0.000193523108017013,1.000193523108017,0.0193523108017013,-6.694269897798228e-05,0.659933057301022,-0.010142833178482162,-1.5464090369933026e-05,0.012484535909630067,-0.0015464090369933026,-1.5464090369787797e-05,0.012484535909630168,-0.0015464090369787797,-1.5464090369933514e-05,-0.0025154640903699323,-0.0015464090369933514,0.004255505446538521,12.964255505446554,0.032835690173908305,-0.002738147650425571,1.0372618523496329,-0.26328342792552084,-9.838050629701334e-05,0.35596222555430906,-0.009838050629701334
baseline,Базовое правило,13,0.00011155884665869334,1.0001115588466587,0.011155884665869333,0.0001115588466586992,0.0001115588466586992,0.01115588466586992,-4.191809933783823e-05,-4.191809975143703e-05,-0.004191809933783823,-5.4685771716774565e-05,0.012445314227162838,-0.005468577171677457,-4.807207790058499e-06,0.5503019380317201,-0.0008735505845864666,0.00014394850164189954,0.2001439485016412,0.07197425082095002,0.000179434523139399,1.0001794345231394,0.0179434523139399,-5.893410529362343e-05,0.6599410658947064,-0.008929409892973247,-1.4710130746353615e-05,0.012485289869253647,-0.0014710130746353614,-1.4710130746387051e-05,0.012485289869253569,-0.0014710130746387051,-1.4710130746354091e-05,-0.002514710130746353,-0.0014710130746354091,0.0040172421968165395,12.964017242196832,0.03099723917296709,-0.0025532356719100147,1.0374467643281484,-0.24550342999133376,-9.44878487402212e-05,0.35596611821186586,-0.00944878487402212
baseline,Базовое правило,14,0.00010762277993987979,1.00010762277994,0.01076227799398798,0.00010762277993991987,0.00010762277993991987,0.010762277993991987,-4.030431356272375e-05,-4.0304313976322554e-05,-0.0040304313562723754,-5.2381127057220606e-05,0.012447618871822391,-0.00523811270572206,-1.8258572428431208e-06,0.5503049193822673,-0.00033178899925139974,0.00013511097769480784,0.2001351109776941,0.06755548884740416,0.00016621208603528892,1.0001662120860353,0.016621208603528892,-5.166906778643949e-05,0.6599483309322136,-0.007828646634309013,-1.3878255917237107e-05,0.012486121744082763,-0.0013878255917237107,-1.3878255917143534e-05,0.012486121744082812,-0.0013878255917143534,-1.3878255917237209e-05,-0.002513878255917236,-0.0013878255917237209,0.0037938444941403304,12.963793844494155,0.029273491467132144,-0.0023809426131595757,1.0376190573868989,-0.2289367897268694,-9.017173843262061e-05,0.35597043432217346,-0.00901717384326206
baseline,Базовое правило,15,0.00010392356398979729,1.0001039235639897,0.01039235639897973,0.00010392356398969405,0.00010392356398969405,0.010392356398969405,-3.88423197944305e-05,-3.88423202080293e-05,-0.00388423197944305,-5.0248699197935136e-05,0.012449751299681677,-0.0050248699197935134,8.032305808258755e-07,0.550307548470091,0.00014596051888774963,0.0001269647550956321,0.20012696475509492,0.06348237754781627,0.00015392550157389273,1.000153925501574,0.015392550157389273,-4.504595474862269e-05,0.6599549540452514,-0.006825144658882226,-1.3053828392221342e-05,0.012486946171607779,-0.0013053828392221342,-1.3053828392228795e-05,0.012486946171607727,-0.0013053828392228795,-1.3053828392221856e-05,-0.0025130538283922206,-0.0013053828392221856,0.0035847807372242357,12.96358478073724,0.027660345194631418,-0.002220356811306168,1.0377796431887523,-0.21349584724096568,-8.587393705916657e-05,0.3559747321235469,-0.008587393705916657
baseline,Базовое правило,16,0.00010048461805203763,1.0001004846180521,0.010048461805203763,0.00010048461805212128,0.00010048461805212128,0.010048461805212128,-3.750667867781046e-05,-3.750667909140926e-05,-0.003750667867781046,-4.828392166661479e-05,0.012451716077212998,-0.004828392166661479,3.1530238805421718e-06,0.5503098982633907,0.0005729575201136014,0.00011947429033798418,0.20011947429033727,0.059737145168992305,0.00014256399664680508,1.0001425639966468,0.014256399664680508,-3.898468386168088e-05,0.6599610153161384,-0.00590677028207286,-1.2273691151882756e-05,0.012487726308848118,-0.0012273691151882757,-1.2273691151865052e-05,0.01248772630884809,-0.0012273691151865052,-1.2273691151882399e-05,-0.002512273691151881,-0.0012273691151882399,0.0033891503455976135,12.963389150345613,0.026150851432080322,-0.0020705925801887126,1.0379294074198697,-0.19909544040274965,-8.17901190266479e-05,0.35597881594157943,-0.00817901190266479
baseline,Базовое правило,17,9.730411625783028e-05,1.0000973041162577,0.009730411625783027,9.730411625774593e-05,9.730411625774593e-05,0.009730411625774593,-3.628033137735854e-05,-3.6280331790957344e-05,-0.003628033137735854,-4.647598992677653e-05,0.012453524008952836,-0.004647598992677653,5.270903614018607e-06,0.5503120161431242,0.0009578119220989287,0.0001125930529695951,0.20011259305296888,0.05629652648479775,0.00013208178944346116,1.0001320817894435,0.013208178944346116,-3.3421187737463695e-05,0.6599665788122626,-0.005063816323858135,-1.1550549605441195e-05,0.012488449450394559,-0.0011550549605441195,-1.155054960544355e-05,0.012488449450394512,-0.001155054960544355,-1.1550549605441815e-05,-0.0025115505496054406,-0.0011550549605441815,0.0032059563602899743,12.963205956360305,0.02473731759483002,-0.0019308219035356622,1.0380691780965228,-0.185655952263034,-7.799246562978368e-05,0.3559826135949763,-0.007799246562978368
baseline,Базовое правило,18,9.436983764901041e-05,1.000094369837649,0.009436983764901041,9.436983764898876e-05,9.436983764898876e-05,0.009436983764898876,-3.515130971607531e-05,-3.5151310129674114e-05,-0.0035151309716075314,-4.481241340914049e-05,0.012455187585470472,-0.004481241340914049,7.1894657923676775e-06,0.5503139347053025,0.001306446968815293,0.00010627294881543348,0.20010627294881472,0.053136474407716926,0.0001224207409842304,1.0001224207409842,0.01224207409842304,-2.8303397590601067e-05,0.6599716966024094,-0.0042883935743334945,-1.0885716478208565e-05,0.012489114283521792,-0.0010885716478208564,-1.0885716478226115e-05,0.01248911428352173,-0.0010885716478226115,-1.0885716478208768e-05,-0.0025108857164782075,-0.0010885716478208768,0.0030342290401446093,12.96303422904016,0.023412261112226895,-0.0018002834700856507,1.0381997165299728,-0.17310417981591822,-7.449395666470071e-05,0.3559861121039414,-0.007449395666470071
baseline,Базовое правило,19,9.166633313327077e-05,1.0000916663331332,0.009166633313327077,9.166633313317796e-05,9.166633313317796e-05,0.009166633313317796,-3.411079007954577e-05,-3.411079049314457e-05,-0.003411079007954577,-4.328105742970011e-05,0.012456718941449911,-0.004328105742970011,8.932637291292345e-06,0.5503156778768015,0.0016232105763858283,0.00010046843936140082,0.2001004684393607,0.05023421968070059,0.00011352106516837601,1.0001135210651684,0.011352106516837601,-2.358827532231464e-05,0.6599764117246777,-0.0035739811094416124,-1.0275634516639742e-05,0.012489724365483361,-0.0010275634516639742,-1.0275634516609955e-05,0.012489724365483346,-0.0010275634516609955,-1.0275634516639445e-05,-0.002510275634516638,-0.0010275634516639445,0.002873074590942437,12.962873074590958,0.022168785423938533,-0.0016782815595255407,1.038321718440533,-0.16137322687744676,-7.128145275708819e-05,0.355989324607849,-0.007128145275708819
