scenario,scenario_label,period,grouping,group,group_label,group_mass,mean_consumption,mean_labor_income,mean_financial_income,mean_disposable_income,mean_liquid_assets,mean_illiquid_assets,mean_total_wealth,mean_mpc,aggregate_group_consumption,baseline_group_consumption,aggregate_group_consumption_change,aggregate_group_consumption_contribution_pct,consumption_pct_deviation
low_phi_y,Слабая реакция на выпуск,38,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.2009217599059436,0.6550694531898927,0.3940638847258001,0.28774905869974865,0.6818129434255488,0.10990844595486991,23.051426899157274,23.16133534511214,0.11786256756062118,0.13161770739553738,0.13158029949700933,3.7407898528046823e-05,0.006797644922881287,0.028429710732568336
low_phi_y,Слабая реакция на выпуск,39,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.20091961116769633,0.655067084240943,0.39406053469928953,0.28775368695967923,0.6818142216589687,0.10990947816287575,23.051391310466602,23.16130078862948,0.11786256756062118,0.13161582385444684,0.13158029949700933,3.552435743750526e-05,0.006455373797398028,0.026998234213863215
low_phi_y,Слабая реакция на выпуск,40,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.20091745993532134,0.6550651539856729,0.394057696744355,0.28775872756701604,0.681816424311371,0.10991033346303042,23.05137234586076,23.16128267932379,0.11786256756062118,0.13161402683094153,0.13158029949700933,3.372733393219862e-05,0.006128824373671717,0.025632510384250344
low_phi_y,Слабая реакция на выпуск,41,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.20091528236952463,0.6550636650596023,0.39405536360184723,0.2877643439603475,0.6818197075621947,0.10991103353801537,23.05137158391286,23.161282617450876,0.11786256756062118,0.13161230123546572,0.13158029949700933,3.20017384563831e-05,0.005815254625391694,0.024321071299211065
low_phi_y,Слабая реакция на выпуск,42,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.2009130541867902,0.6550626161027656,0.39405352744244826,0.28777070790571513,0.6818242353481633,0.10991160356299322,23.051390639509613,23.161302243072612,0.11786256756062118,0.1316106308847955,0.13158029949700933,3.0331387786158848e-05,0.005511723788331489,0.02305161783496947
low_phi_y,Слабая реакция на выпуск,43,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.20091075274807732,0.6550619966606483,0.3940521754594348,0.2877779829433964,0.681830158402831,0.1099120745855069,23.051430952387634,23.161343026973142,0.11786256756062118,0.13160899884574936,0.13158029949700933,2.8699348740029995e-05,0.005215154818343935,0.021811280905833702
low_phi_y,Слабая реакция на выпуск,44,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.2009083598221339,0.6550617806396941,0.3940512836334672,0.2877862968600943,0.6818375804935614,0.10991248604050177,23.051493501875928,23.161405987916424,0.11786256756062118,0.1316073879304874,0.13158029949700933,2.7088433478067442e-05,0.004922424395557378,0.020586997887691486
low_phi_y,Слабая реакция на выпуск,45,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.20090586511451258,0.6550619183237474,0.3940508083538883,0.28779569946270867,0.681846507816597,0.10991288818353961,23.051578439034202,23.16149132721775,0.11786256756062118,0.13160578140440465,0.13158029949700933,2.5481907395319414e-05,0.004630491560525742,0.019366050611473635
low_phi_y,Слабая реакция на выпуск,46,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.20090327057138602,0.6550623271910584,0.3940506757225333,0.28780610172787857,0.6818567774504118,0.10991334407016218,23.05168463470239,23.161597978772555,0.11786256756062118,0.131604163960787,0.13158029949700933,2.386446377766749e-05,0.004336574825605844,0.01813680609399274
low_phi_y,Слабая реакция на выпуск,47,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.2009005953242033,0.6550628821276228,0.3940507686524584,0.28781719283218327,0.6818679614846417,0.10991393051537436,23.051809154452126,23.1617230849675,0.11786256756062118,0.1316025229942278,0.13158029949700933,2.2223497218476496e-05,0.004038383576200607,0.016889684324651967
low_phi_y,Слабая реакция на выпуск,48,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.20089788091721666,0.6550634061348724,0.39405091238234724,0.28782833308742545,0.6818792454697729,0.10991473724392421,23.05194669040788,23.1618614276518,0.11786256756062118,0.13160085015890993,0.13158029949700933,2.0550661900597955e-05,0.003734401236832684,0.015618342547597749
low_phi_y,Слабая реакция на выпуск,49,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.20089519613806048,0.655063663279543,0.3940508598346534,0.28783842406351595,0.6818892838981693,0.10991586321848403,23.05208900610803,23.162004869326516,0.11786256756062118,0.1315991431174602,0.13158029949700933,1.884362045087573e-05,0.00342420306745003,0.014321004377485874
