scenario,scenario_label,period,b,a,delta_mass,steady_mass,path_mass
baseline,Базовое правило,4,0.08897052667346173,5.171934388943833,-0.0013106132441617815,0.013573645289215437,0.012263032045053655
baseline,Базовое правило,4,0.08897052667346173,7.125231940055185,-2.846178048143775e-05,0.0026449863283476514,0.0026165245478662136
baseline,Базовое правило,4,0.08897052667346173,9.782221393259215,-1.9606662728667654e-05,0.0026298471393187265,0.002610240476590059
baseline,Базовое правило,4,0.08897052667346173,13.396413685888078,-1.4842276276524815e-05,0.0025501059043853,0.0025352636281087753
baseline,Базовое правило,4,0.08897052667346173,18.312649206637353,-1.0588712584269112e-06,0.0025182323058039885,0.0025171734345455616
baseline,Базовое правило,4,0.08897052667346173,25.0,1.598093796557074e-05,0.002823034050203522,0.002839014988169093
baseline,Базовое правило,4,0.08897052667346173,47.15592934036566,-0.0017817372171658047,0.012572518727498741,0.010790781510332937
baseline,Базовое правило,4,0.08897052667346173,79.08071848043826,-2.1928294077388794e-05,0.0002490345247153335,0.0002271062306379447
baseline,Базовое правило,4,0.08897052667346173,125.08159463331742,1.186040453532396e-08,1.6789745155506872e-06,1.6908349200860111e-06
baseline,Базовое правило,4,0.08897052667346173,191.36490186357162,7.838721201265661e-10,3.3190203222894326e-09,4.102892442415999e-09
baseline,Базовое правило,4,0.08897052667346173,286.87344832644783,1.232465788813591e-12,4.5373767577712746e-12,5.7698425465848655e-12
baseline,Базовое правило,4,0.08897052667346173,424.49305164171244,1.7546067166665193e-15,8.120542510746489e-15,9.875149227413008e-15
baseline,Базовое правило,4,0.08897052667346173,622.7910670346317,2.147506281454811e-18,6.934532601881233e-18,9.082038883336044e-18
baseline,Базовое правило,4,0.08897052667346173,908.5214569027802,9.043612216228338e-22,2.1617595842494523e-21,3.066120805872286e-21
baseline,Базовое правило,4,0.08897052667346173,1320.234380667721,3.515211921564301e-25,1.7968578209145637e-25,5.312069742478865e-25
baseline,Базовое правило,4,0.08897052667346173,1913.4773033869203,1.1717260710320262e-30,2.2358523060473106e-31,1.3953113016367573e-30
baseline,Базовое правило,4,0.08897052667346173,2768.2893460551436,0.0,0.0,0.0
baseline,Базовое правило,4,0.08897052667346173,4000.0,0.0,0.0,0.0
baseline,Базовое правило,4,0.209604071813136,0.0,4.002580750851184e-06,0.001221932046762398,0.0012259346275132492
baseline,Базовое правило,4,0.209604071813136,0.09006460660490612,1.2782623373282925e-05,0.0016530074513679944,0.0016657900747412773
baseline,Базовое правило,4,0.209604071813136,0.21257574666139822,1.2597960638929557e-05,0.001617854897041959,0.0016304528576808884
baseline,Базовое правило,4,0.209604071813136,0.3792225572535164,1.3002125400185484e-05,0.0017423346818603548,0.0017553368072605402
baseline,Базовое правило,4,0.209604071813136,0.6059052855974003,1.6934695211589385e-05,0.001999002999470658,0.0020159376946822473
baseline,Базовое правило,4,0.209604071813136,0.9142523769509592,1.73658285569883e-05,0.002448555512470126,0.0024659213410271144
baseline,Базовое правило,4,0.209604071813136,1.333684106226619,2.9022864573054717e-05,0.003306627084081671,0.0033356499486547255
baseline,Базовое правило,4,0.209604071813136,1.9042196502815902,0.00033985585008941294,0.007478078740102073,0.007817934590191486
baseline,Базовое правило,4,0.209604071813136,2.6802954316542698,-0.00046949098044575185,0.01701566120743028,0.016546170226984527
baseline,Базовое правило,4,0.209604071813136,3.7359590528066504,-0.0008436219609890159,0.006467333986841623,0.005623712025852607
baseline,Базовое правило,4,0.209604071813136,5.171934388943833,-6.931040166168519e-06,0.0020709289462099364,0.002063997906043768
baseline,Базовое правило,4,0.209604071813136,7.125231940055185,-1.0579414933814882e-05,0.0022449012304124115,0.0022343218154785966
baseline,Базовое правило,4,0.209604071813136,9.782221393259215,-3.252637095593758e-06,0.0024434316132602866,0.002440178976164693
baseline,Базовое правило,4,0.209604071813136,13.396413685888078,-2.391835641371229e-06,0.0025612234616872367,0.0025588316260458654
baseline,Базовое правило,4,0.209604071813136,18.312649206637353,8.74315065691085e-06,0.002368649902838243,0.002377393053495154
baseline,Базовое правило,4,0.209604071813136,25.0,4.525640668322575e-05,0.002752586866994587,0.0027978432736778126
baseline,Базовое правило,4,0.209604071813136,47.15592934036566,-5.371941476435202e-05,0.001310030832203064,0.001256311417438712
baseline,Базовое правило,4,0.209604071813136,79.08071848043826,-1.4111162535058086e-06,5.9625113413874753e-05,5.8213997160368945e-05
baseline,Базовое правило,4,0.209604071813136,125.08159463331742,1.3345925351786956e-08,7.530759796194516e-07,7.664219049712386e-07
baseline,Базовое правило,4,0.209604071813136,191.36490186357162,4.697391418538391e-10,2.74888864469909e-09,3.218627786552929e-09
baseline,Базовое правило,4,0.209604071813136,286.87344832644783,1.1479415479967444e-12,4.0658602641197856e-12,5.21380181211653e-12
baseline,Базовое правило,4,0.209604071813136,424.49305164171244,1.3489112239511462e-15,6.158032228703266e-15,7.506943452654412e-15
baseline,Базовое правило,4,0.209604071813136,622.7910670346317,2.8499875369508104e-18,7.884070806467423e-18,1.0734058343418233e-17
baseline,Базовое правило,4,0.209604071813136,908.5214569027802,1.910098161729428e-21,2.1263648561004036e-21,4.0364630178298314e-21
baseline,Базовое правило,4,0.209604071813136,1320.234380667721,2.514179076417582e-25,1.330380271283585e-25,3.8445593477011665e-25
baseline,Базовое правило,4,0.209604071813136,1913.4773033869203,2.9975338249925356e-30,6.8043586749959e-31,3.6779696924921256e-30
baseline,Базовое правило,4,0.209604071813136,2768.2893460551436,1.361660261959059e-37,0.0,1.361660261959059e-37
baseline,Базовое правило,4,0.209604071813136,4000.0,0.0,0.0,0.0
baseline,Базовое правило,4,0.3731689371350648,0.0,-7.031812462476861e-06,0.0011842596254151585,0.0011772278129526816
baseline,Базовое правило,4,0.3731689371350648,0.09006460660490612,6.146107923199733e-06,0.002329573529625746,0.002335719637548946
baseline,Базовое правило,4,0.3731689371350648,0.21257574666139822,1.5372484116775356e-05,0.002626730027140714,0.0026421025112574894
baseline,Базовое правило,4,0.3731689371350648,0.3792225572535164,0.00011983161236091885,0.002810362326786077,0.002930193939146996
baseline,Базовое правило,4,0.3731689371350648,0.6059052855974003,0.00015162974357207665,0.004019491657282923,0.004171121400854999
baseline,Базовое правило,4,0.3731689371350648,0.9142523769509592,0.00015026702237664648,0.006073203074898628,0.006223470097275275
baseline,Базовое правило,4,0.3731689371350648,1.333684106226619,0.00014427283439888243,0.009109205080657684,0.009253477915056567
baseline,Базовое правило,4,0.3731689371350648,1.9042196502815902,-0.0003867484826538727,0.008529566066029398,0.008142817583375525
baseline,Базовое правило,4,0.3731689371350648,2.6802954316542698,-0.00014112263433931982,0.0023002421562981303,0.0021591195219588105
baseline,Базовое правило,4,0.3731689371350648,3.7359590528066504,-3.135040952155759e-06,0.0019510455352400682,0.0019479104942879124
baseline,Базовое правило,4,0.3731689371350648,5.171934388943833,-1.034834089585178e-05,0.0021682440560896596,0.0021578957151938078
baseline,Базовое правило,4,0.3731689371350648,7.125231940055185,-1.1792430467757846e-05,0.0022949944524387218,0.002283202021970964
baseline,Базовое правило,4,0.3731689371350648,9.782221393259215,-3.213624018742669e-06,0.002377361468433814,0.0023741478444150713
baseline,Базовое правило,4,0.3731689371350648,13.396413685888078,1.5267822347181468e-05,0.0024887673511674114,0.002504035173514593
baseline,Базовое правило,4,0.3731689371350648,18.312649206637353,3.2229332907240775e-05,0.0026114187017279404,0.002643648034635181
baseline,Базовое правило,4,0.3731689371350648,25.0,3.707321835568671e-05,0.003173440992134976,0.003210514210490663
baseline,Базовое правило,4,0.3731689371350648,47.15592934036566,-2.712432919771716e-05,0.0010371624749822312,0.001010038145784514
baseline,Базовое правило,4,0.3731689371350648,79.08071848043826,-6.962954538468279e-07,4.444053569841461e-05,4.374424024456778e-05
baseline,Базовое правило,4,0.3731689371350648,125.08159463331742,1.8371367647376277e-08,5.77992101192489e-07,5.963634688398653e-07
baseline,Базовое правило,4,0.3731689371350648,191.36490186357162,3.255045633847393e-10,2.3887270143513104e-09,2.7142315777360497e-09
baseline,Базовое правило,4,0.3731689371350648,286.87344832644783,1.0422866593312497e-12,3.970406313448601e-12,5.012692972779851e-12
baseline,Базовое правило,4,0.3731689371350648,424.49305164171244,1.939447755087065e-15,7.5018990342773e-15,9.441346789364365e-15
baseline,Базовое правило,4,0.3731689371350648,622.7910670346317,2.7309654670156435e-18,7.419201183143654e-18,1.0150166650159298e-17
baseline,Базовое правило,4,0.3731689371350648,908.5214569027802,1.832922499602107e-21,4.1107751497373085e-21,5.9436976493394155e-21
baseline,Базовое правило,4,0.3731689371350648,1320.234380667721,2.7630696957882005e-25,1.3990441839095883e-25,4.162113879697789e-25
baseline,Базовое правило,4,0.3731689371350648,1913.4773033869203,8.23378133622218e-30,7.009329104974641e-31,8.934714246719644e-30
baseline,Базовое правило,4,0.3731689371350648,2768.2893460551436,3.1861861617100725e-38,0.0,3.1861861617100725e-38
baseline,Базовое правило,4,0.3731689371350648,4000.0,0.0,0.0,0.0
baseline,Базовое правило,4,0.5949436113088571,0.0,-1.0262092588137167e-05,0.0008742432666606058,0.0008639811740724687
baseline,Базовое правило,4,0.5949436113088571,0.09006460660490612,-2.857461312065577e-06,0.0028945286459905496,0.002891671184678484
baseline,Базовое правило,4,0.5949436113088571,0.21257574666139822,2.5573884033855757e-05,0.005016212777061912,0.005041786661095768
baseline,Базовое правило,4,0.5949436113088571,0.3792225572535164,-0.00013652227030572488,0.006675870209558541,0.006539347939252816
baseline,Базовое правило,4,0.5949436113088571,0.6059052855974003,-0.000188879346670218,0.006413149786843215,0.006224270440172997
baseline,Базовое правило,4,0.5949436113088571,0.9142523769509592,-0.00020089773032794158,0.004950321546950518,0.004749423816622576
baseline,Базовое правило,4,0.5949436113088571,1.333684106226619,-0.00021473644647810285,0.002702445439906371,0.002487708993428268
baseline,Базовое правило,4,0.5949436113088571,1.9042196502815902,-8.786078392879204e-06,0.0015393050864254733,0.001530519008032594
baseline,Базовое правило,4,0.5949436113088571,2.6802954316542698,-1.1967621466344846e-05,0.00170900765648558,0.0016970400350192353
baseline,Базовое правило,4,0.5949436113088571,3.7359590528066504,-9.403513949329118e-06,0.0018526173979903798,0.0018432138840410507
baseline,Базовое правило,4,0.5949436113088571,5.171934388943833,2.141963136387693e-06,0.002080208611443916,0.0020823505745803036
baseline,Базовое правило,4,0.5949436113088571,7.125231940055185,1.1953641596253e-05,0.0024239156068765265,0.0024358692484727795
baseline,Базовое правило,4,0.5949436113088571,9.782221393259215,2.1652692163382208e-05,0.002760216178394203,0.002781868870557585
baseline,Базовое правило,4,0.5949436113088571,13.396413685888078,2.7695288923851313e-05,0.002965178338146221,0.002992873627070072
baseline,Базовое правило,4,0.5949436113088571,18.312649206637353,1.1225490378533477e-05,0.0030664994780572117,0.0030777249684357452
baseline,Базовое правило,4,0.5949436113088571,25.0,2.6705248638905603e-05,0.004094507551262783,0.004121212799901688
baseline,Базовое правило,4,0.5949436113088571,47.15592934036566,-1.8955717635631445e-05,0.0009430068481427764,0.000924051130507145
baseline,Базовое правило,4,0.5949436113088571,79.08071848043826,-2.886074873212921e-07,3.526962820679184e-05,3.498102071947055e-05
baseline,Базовое правило,4,0.5949436113088571,125.08159463331742,1.5992274875302e-08,4.231759752468192e-07,4.391682501221212e-07
baseline,Базовое правило,4,0.5949436113088571,191.36490186357162,2.160892524450185e-10,1.9805569525142203e-09,2.196646204959239e-09
baseline,Базовое правило,4,0.5949436113088571,286.87344832644783,1.204810831455725e-12,4.198614576853738e-12,5.403425408309463e-12
