output,input,response_period,shock_period,value
Y,monetary_policy_shock,2,26,-0.009857374013460363
Y,monetary_policy_shock,2,27,-0.009916169402072612
Y,monetary_policy_shock,2,28,-0.0098163298120044
Y,monetary_policy_shock,2,29,-0.009606777726704862
Y,monetary_policy_shock,2,30,-0.009323800973597774
Y,monetary_policy_shock,2,31,-0.008994336780038397
Y,monetary_policy_shock,2,32,-0.008638441554895779
Y,monetary_policy_shock,2,33,-0.0082711095711298
Y,monetary_policy_shock,2,34,-0.00790359210307187
Y,monetary_policy_shock,2,35,-0.007544346514791923
Y,monetary_policy_shock,2,36,-0.007199718255424702
Y,monetary_policy_shock,2,37,-0.006874434572914413
Y,monetary_policy_shock,2,38,-0.006571967504924337
Y,monetary_policy_shock,2,39,-0.0062948074223551686
Y,monetary_policy_shock,2,40,-0.006044675281831327
Y,monetary_policy_shock,2,41,-0.005822693160238963
Y,monetary_policy_shock,2,42,-0.005629526047442999
Y,monetary_policy_shock,2,43,-0.005465503998829891
Y,monetary_policy_shock,2,44,-0.005330730761160364
Y,monetary_policy_shock,2,45,-0.005225183101862064
Y,monetary_policy_shock,2,46,-0.0051488017645693555
Y,monetary_policy_shock,2,47,-0.0051015701729328015
Y,monetary_policy_shock,2,48,-0.005083563940984068
Y,monetary_policy_shock,2,49,-0.005094927607261261
Y,monetary_policy_shock,2,50,-0.005135674432501727
Y,monetary_policy_shock,2,51,-0.005205078489596197
Y,monetary_policy_shock,2,52,-0.0053001619583668445
Y,monetary_policy_shock,2,53,-0.005412234189846111
Y,monetary_policy_shock,2,54,-0.005519329510337791
Y,monetary_policy_shock,2,55,-0.0055701607865743545
Y,monetary_policy_shock,2,56,-0.00545076274279767
Y,monetary_policy_shock,2,57,-0.004916209129090763
Y,monetary_policy_shock,2,58,-0.0034525090434470974
Y,monetary_policy_shock,2,59,0.0
Y,monetary_policy_shock,3,0,-0.19583410557621023
Y,monetary_policy_shock,3,1,-0.3043039000385419
Y,monetary_policy_shock,3,2,-0.5483399616870298
Y,monetary_policy_shock,3,3,-1.0055914559116028
Y,monetary_policy_shock,3,4,-0.5734466622463393
Y,monetary_policy_shock,3,5,-0.2555140525883255
Y,monetary_policy_shock,3,6,-0.039542264641221146
Y,monetary_policy_shock,3,7,0.09415238409176545
Y,monetary_policy_shock,3,8,0.16632828301039637
Y,monetary_policy_shock,3,9,0.1955746641539771
Y,monetary_policy_shock,3,10,0.19700351501326432
Y,monetary_policy_shock,3,11,0.1820465299712965
Y,monetary_policy_shock,3,12,0.1588215140385
Y,monetary_policy_shock,3,13,0.1327340886025242
Y,monetary_policy_shock,3,14,0.10712026756762241
Y,monetary_policy_shock,3,15,0.08382870131363741
Y,monetary_policy_shock,3,16,0.06370009670041028
Y,monetary_policy_shock,3,17,0.04693560472923433
Y,monetary_policy_shock,3,18,0.03336391184998868
Y,monetary_policy_shock,3,19,0.0226244314183902
Y,monetary_policy_shock,3,20,0.014285633617602404
Y,monetary_policy_shock,3,21,0.007916018308050173
Y,monetary_policy_shock,3,22,0.0031223176138061534
Y,monetary_policy_shock,3,23,-0.00043373058801977947
Y,monetary_policy_shock,3,24,-0.0030317081196481483
Y,monetary_policy_shock,3,25,-0.004896136176644815
Y,monetary_policy_shock,3,26,-0.006203559029519086
Y,monetary_policy_shock,3,27,-0.00709071944093113
Y,monetary_policy_shock,3,28,-0.007662475574953027
Y,monetary_policy_shock,3,29,-0.00799878830608904
Y,monetary_policy_shock,3,30,-0.00816053265177623
Y,monetary_policy_shock,3,31,-0.008194132561057532
Y,monetary_policy_shock,3,32,-0.008135144059757755
Y,monetary_policy_shock,3,33,-0.00801096171781674
Y,monetary_policy_shock,3,34,-0.007842829687131462
Y,monetary_policy_shock,3,35,-0.007647320875295682
Y,monetary_policy_shock,3,36,-0.007437421680165772
Y,monetary_policy_shock,3,37,-0.007223330478891671
Y,monetary_policy_shock,3,38,-0.007013052275373886
Y,monetary_policy_shock,3,39,-0.006812849641475291
Y,monetary_policy_shock,3,40,-0.0066275932622324694
Y,monetary_policy_shock,3,41,-0.006461041987460749
Y,monetary_policy_shock,3,42,-0.00631607357396651
Y,monetary_policy_shock,3,43,-0.006194880590159974
Y,monetary_policy_shock,3,44,-0.006099141858811299
Y,monetary_policy_shock,3,45,-0.006030176107698152
Y,monetary_policy_shock,3,46,-0.005989080879512734
Y,monetary_policy_shock,3,47,-0.005976852119508045
Y,monetary_policy_shock,3,48,-0.005994465358048357
Y,monetary_policy_shock,3,49,-0.006042864904383095
Y,monetary_policy_shock,3,50,-0.0061227351383096335
Y,monetary_policy_shock,3,51,-0.0062337716513123755
Y,monetary_policy_shock,3,52,-0.006372846040867361
Y,monetary_policy_shock,3,53,-0.006529790290115675
Y,monetary_policy_shock,3,54,-0.006678171838735199
Y,monetary_policy_shock,3,55,-0.006755707460158205
Y,monetary_policy_shock,3,56,-0.006623538245673946
Y,monetary_policy_shock,3,57,-0.005982854712401834
Y,monetary_policy_shock,3,58,-0.004206260071100575
Y,monetary_policy_shock,3,59,-0.0
Y,monetary_policy_shock,4,0,-0.028500276422271882
Y,monetary_policy_shock,4,1,-0.07130274675910696
Y,monetary_policy_shock,4,2,-0.178677384069135
