scenario,scenario_label,period,a,mass
baseline,Базовое правило,4,908.5214569027802,9.519109594430983e-19
baseline,Базовое правило,4,1320.234380667721,3.040317368648603e-21
baseline,Базовое правило,4,1913.4773033869203,1.6406099764500416e-22
baseline,Базовое правило,4,2768.2893460551436,6.0658297524303994e-24
baseline,Базовое правило,4,4000.0,1.1232068506308729e-25
baseline,Базовое правило,8,0.0,0.017213009727845088
baseline,Базовое правило,8,0.09006460660490612,0.015759998023572835
baseline,Базовое правило,8,0.21257574666139822,0.019306919363158443
baseline,Базовое правило,8,0.3792225572535164,0.02334668209393405
baseline,Базовое правило,8,0.6059052855974003,0.027536821067665224
baseline,Базовое правило,8,0.9142523769509592,0.03231899302854767
baseline,Базовое правило,8,1.333684106226619,0.03861253450267895
baseline,Базовое правило,8,1.9042196502815902,0.047044152634384696
baseline,Базовое правило,8,2.6802954316542698,0.059318304305956734
baseline,Базовое правило,8,3.7359590528066504,0.0715221007002372
baseline,Базовое правило,8,5.171934388943833,0.08499493764360289
baseline,Базовое правило,8,7.125231940055185,0.09601173095780595
baseline,Базовое правило,8,9.782221393259215,0.10152387906307858
baseline,Базовое правило,8,13.396413685888078,0.10053927687901262
baseline,Базовое правило,8,18.312649206637353,0.09156774163411702
baseline,Базовое правило,8,25.0,0.08760163984025847
baseline,Базовое правило,8,47.15592934036566,0.05976788801317946
baseline,Базовое правило,8,79.08071848043826,0.023156338029789687
baseline,Базовое правило,8,125.08159463331742,0.002856022347163537
baseline,Базовое правило,8,191.36490186357162,1.0293778792808098e-06
baseline,Базовое правило,8,286.87344832644783,7.644382641108318e-10
baseline,Базовое правило,8,424.49305164171244,1.5529701427267397e-12
baseline,Базовое правило,8,622.7910670346317,2.0222479676668094e-15
baseline,Базовое правило,8,908.5214569027802,9.612664509279015e-19
baseline,Базовое правило,8,1320.234380667721,2.9241279066772598e-21
baseline,Базовое правило,8,1913.4773033869203,1.574971470149417e-22
baseline,Базовое правило,8,2768.2893460551436,5.8188127997124004e-24
baseline,Базовое правило,8,4000.0,1.0766646960973229e-25
baseline,Базовое правило,16,0.0,0.01720975510581081
baseline,Базовое правило,16,0.09006460660490612,0.01576789126272685
baseline,Базовое правило,16,0.21257574666139822,0.019312974480270133
baseline,Базовое правило,16,0.3792225572535164,0.023351835449483386
baseline,Базовое правило,16,0.6059052855974003,0.027540104465880177
baseline,Базовое правило,16,0.9142523769509592,0.03232489333780713
baseline,Базовое правило,16,1.333684106226619,0.038619191534452126
baseline,Базовое правило,16,1.9042196502815902,0.047053093287254474
baseline,Базовое правило,16,2.6802954316542698,0.05933229741920431
baseline,Базовое правило,16,3.7359590528066504,0.07152159412318645
baseline,Базовое правило,16,5.171934388943833,0.08497999431306129
baseline,Базовое правило,16,7.125231940055185,0.09601866339928239
baseline,Базовое правило,16,9.782221393259215,0.10152654374140066
baseline,Базовое правило,16,13.396413685888078,0.10053946942130444
baseline,Базовое правило,16,18.312649206637353,0.09156891625947386
baseline,Базовое правило,16,25.0,0.08756943163023012
baseline,Базовое правило,16,47.15592934036566,0.059758551810320325
baseline,Базовое правило,16,79.08071848043826,0.023150087211480458
baseline,Базовое правило,16,125.08159463331742,0.0028537108906937212
baseline,Базовое правило,16,191.36490186357162,1.0000918540724138e-06
baseline,Базовое правило,16,286.87344832644783,7.631307545951724e-10
baseline,Базовое правило,16,424.49305164171244,1.5514304591802052e-12
baseline,Базовое правило,16,622.7910670346317,2.0182088981725287e-15
baseline,Базовое правило,16,908.5214569027802,9.558559627919721e-19
baseline,Базовое правило,16,1320.234380667721,2.6989721573312466e-21
baseline,Базовое правило,16,1913.4773033869203,1.4491736964702608e-22
baseline,Базовое правило,16,2768.2893460551436,5.345888714034562e-24
baseline,Базовое правило,16,4000.0,9.876523754560062e-26
baseline,Базовое правило,24,0.0,0.017205804763062518
baseline,Базовое правило,24,0.09006460660490612,0.01577200151707409
baseline,Базовое правило,24,0.21257574666139822,0.019317278039919485
baseline,Базовое правило,24,0.3792225572535164,0.023355237670844915
baseline,Базовое правило,24,0.6059052855974003,0.02754236107884534
baseline,Базовое правило,24,0.9142523769509592,0.0323293271565714
baseline,Базовое правило,24,1.333684106226619,0.03862293061391777
baseline,Базовое правило,24,1.9042196502815902,0.04705487979915382
baseline,Базовое правило,24,2.6802954316542698,0.05934368961513285
baseline,Базовое правило,24,3.7359590528066504,0.0715191927358925
baseline,Базовое правило,24,5.171934388943833,0.0849757123641668
baseline,Базовое правило,24,7.125231940055185,0.09602456462026018
baseline,Базовое правило,24,9.782221393259215,0.10152988358236413
baseline,Базовое правило,24,13.396413685888078,0.10054054037028867
baseline,Базовое правило,24,18.312649206637353,0.0915664826531514
baseline,Базовое правило,24,25.0,0.08754853051279068
baseline,Базовое правило,24,47.15592934036566,0.05975204622177607
baseline,Базовое правило,24,79.08071848043826,0.023146526089288376
baseline,Базовое правило,24,125.08159463331742,0.002852041008859848
baseline,Базовое правило,24,191.36490186357162,9.68823676518957e-07
baseline,Базовое правило,24,286.87344832644783,7.612741717847881e-10
baseline,Базовое правило,24,424.49305164171244,1.547743710805436e-12
baseline,Базовое правило,24,622.7910670346317,2.0105846820321763e-15
