scenario,scenario_label,period,mean_liquid_wealth,median_liquid_wealth,mean_illiquid_wealth,median_illiquid_wealth,mean_total_wealth,median_total_wealth,p10_liquid_wealth,p25_liquid_wealth,p75_liquid_wealth,p90_liquid_wealth,p10_illiquid_wealth,p25_illiquid_wealth,p75_illiquid_wealth,p90_illiquid_wealth,share_low_liquidity,share_wealthy_htm,share_top20_total_wealth,gini_liquid_wealth,gini_total_wealth,mean_mpc,median_mpc
high_phi_pi,Сильная реакция на инфляцию,51,1.0400305033091708,0.08897052667346173,12.960519442787945,7.125231940055185,14.000549946097113,9.741785837139862,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5933800435955905,0.3574780305158633,0.2032503599428389,0.7719504700520546,0.5338177995900306,0.10616553425970617,0.08514104116507075
high_phi_pi,Сильная реакция на инфляцию,52,1.0400617661826017,0.08897052667346173,12.960526722856915,7.125231940055185,14.000588489039519,9.741788041497271,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5933723323190353,0.3574756070495355,0.20325135053421478,0.7719472258377322,0.5338168201954728,0.10616129810714853,0.0851392892013814
high_phi_pi,Сильная реакция на инфляцию,53,1.0400936658597535,0.08897052667346173,12.960533355720974,7.125231940055185,14.00062702158073,9.741790259964835,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5933640029206347,0.35747297380588056,0.20325234530922276,0.7719436204035341,0.5338158127202436,0.10615620475660777,0.08513790186227962
high_phi_pi,Сильная реакция на инфляцию,54,1.0401251577418145,0.08897052667346173,12.96053335500565,7.125231940055185,14.000658512747467,9.74179222406143,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5933553175732337,0.357470091444468,0.20325318768970096,0.7719397530918528,0.5338148044391402,0.10615058297763304,0.08513708402247443
high_phi_pi,Сильная реакция на инфляцию,55,1.0401546266160964,0.08897052667346173,12.96051831006282,7.125231940055185,14.000672936678917,9.741793546343414,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5933467152407627,0.35746693963704784,0.2032536564857179,0.7719358055704317,0.5338138369659843,0.1061450493837102,0.08513707584899617
high_phi_pi,Сильная реакция на инфляцию,56,1.0401798878239732,0.08897052667346173,12.960477381714117,7.125231940055185,14.00065726953809,9.741793719320462,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5933388115227505,0.35746351945489646,0.2032534661538074,0.7719320455805414,0.533812965918537,0.10614051858210595,0.08513840888335415
high_phi_pi,Сильная реакция на инфляцию,57,1.0401983379371393,0.08897052667346173,12.960397820804044,7.125231940055185,14.000596158741184,9.74179214114152,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5933323499209139,0.3574598479253194,0.2032522813449475,0.7719288079998154,0.5338122566182045,0.10613808363014744,0.08514172965899441
high_phi_pi,Сильная реакция на инфляцию,58,1.0402073528424012,0.08897052667346173,12.9602663142455,7.125231940055185,14.000473667087904,9.741788184692838,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.593328073870103,0.35745593952259547,0.2032497545006064,0.7719264361482883,0.5338117732983069,0.10613862517514322,0.08514582319772308
high_phi_pi,Сильная реакция на инфляцию,59,1.0402050618659726,0.08897052667346173,12.96007153676766,7.125231940055185,14.000276598633633,9.741781331475366,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5933264794047011,0.35745176776293436,0.2032455979464131,0.7719251597269828,0.5338115585114379,0.10614192366523684,0.08514996996995622
high_rho_i,Высокая инерция ставки,0,1.039999998730443,0.08897052667346173,12.960000026033857,7.125231940055185,14.000000024764297,9.741798928700359,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5933819694104535,0.3574695597801803,0.2032477510686679,0.771945528806649,0.533787231278242,0.1102938984180114,0.08819062394705411
high_rho_i,Высокая инерция ставки,1,1.0349821048737062,0.08897052667346173,12.91694286450803,7.125231940055185,13.951924969381738,9.782221393259215,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5951737154581105,0.357350901251313,0.20216934723682045,0.7731732163094363,0.5339330925254441,0.11217412255876764,0.08741724425106587
high_rho_i,Высокая инерция ставки,2,1.030763274078152,0.08897052667346173,12.939873761360488,7.125231940055185,13.97063703543864,9.749059691960026,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5966411160665404,0.3581544777118819,0.20259243070781538,0.7742486197391982,0.5340940847788834,0.11067731918067793,0.08801038131975769
high_rho_i,Высокая инерция ставки,3,1.0281555031005678,0.08897052667346173,12.955165715139904,7.125231940055185,13.983321218240473,9.782221393259215,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5973455755308892,0.3585113884381891,0.20287507515014286,0.774797953963557,0.5341938167248487,0.10945899813119872,0.087403887597227
high_rho_i,Высокая инерция ставки,4,1.0267504727602488,0.08897052667346173,12.96490969188163,7.125231940055185,13.991660164641878,9.741280119510016,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5975775344295414,0.3586244971120539,0.20305217540424905,0.7749878844353576,0.5342491219101797,0.10852432783110934,0.08689760699904332
high_rho_i,Высокая инерция ставки,5,1.0261919565635107,0.08897052667346173,12.970790328319342,7.125231940055185,13.996982284882852,9.750481781056516,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5975744809205612,0.3586236265495796,0.2031571446340569,0.774951449148987,0.5342736459946391,0.10783887088342531,0.08650986397128262
high_rho_i,Высокая инерция ставки,6,1.0261970776581655,0.08897052667346173,12.974077298178223,7.125231940055185,14.00027437583639,9.741494400589408,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.597440805225095,0.35857623887128054,0.20321764754192168,0.7747854664570788,0.5342779329894793,0.10735220990924808,0.08624109576325933
high_rho_i,Высокая инерция ставки,7,1.0265560031867793,0.08897052667346173,12.975681540800688,7.125231940055185,14.002237543987466,9.750678078304475,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5972422205369154,0.3585178885990997,0.203253265157286,0.7745539680090144,0.5342696894246962,0.1070152094512491,0.08604317491241646
high_rho_i,Высокая инерция ставки,8,1.0271213233514678,0.08897052667346173,12.97623146873527,7.125231940055185,14.003352792086737,9.782221393259215,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5970088475180146,0.3584574244774327,0.20327638791604297,0.7742983804254606,0.5342542240434204,0.10678586995349948,0.08590645892380015
