scenario,scenario_label,period,channel,value
high_phi_pi,Сильная реакция на инфляцию,17,financial_income,-0.06389307956130649
high_phi_pi,Сильная реакция на инфляцию,17,disposable_income,-0.003651318175490732
high_phi_pi,Сильная реакция на инфляцию,18,labor_income,0.01822838032770399
high_phi_pi,Сильная реакция на инфляцию,18,financial_income,-0.06019356212899767
high_phi_pi,Сильная реакция на инфляцию,18,disposable_income,-0.0031618620526229786
high_phi_pi,Сильная реакция на инфляцию,19,labor_income,0.017572130378027368
high_phi_pi,Сильная реакция на инфляцию,19,financial_income,-0.05683497211938974
high_phi_pi,Сильная реакция на инфляцию,19,disposable_income,-0.0027230307386035446
high_phi_pi,Сильная реакция на инфляцию,20,labor_income,0.016969812430252158
high_phi_pi,Сильная реакция на инфляцию,20,financial_income,-0.053779576649556654
high_phi_pi,Сильная реакция на инфляцию,20,disposable_income,-0.002327676681454617
high_phi_pi,Сильная реакция на инфляцию,21,labor_income,0.01641696699533853
high_phi_pi,Сильная реакция на инфляцию,21,financial_income,-0.0509902878128538
high_phi_pi,Сильная реакция на инфляцию,21,disposable_income,-0.0019689269696690787
high_phi_pi,Сильная реакция на инфляцию,22,labor_income,0.015909456097637734
high_phi_pi,Сильная реакция на инфляцию,22,financial_income,-0.048434399897777994
high_phi_pi,Сильная реакция на инфляцию,22,disposable_income,-0.0016408701543014902
high_phi_pi,Сильная реакция на инфляцию,23,labor_income,0.015443600248187597
high_phi_pi,Сильная реакция на инфляцию,23,financial_income,-0.04608455100859595
high_phi_pi,Сильная реакция на инфляцию,23,disposable_income,-0.0013387189263534508
high_phi_pi,Сильная реакция на инфляцию,24,labor_income,0.015016169502950141
high_phi_pi,Сильная реакция на инфляцию,24,financial_income,-0.043918461995930476
high_phi_pi,Сильная реакция на инфляцию,24,disposable_income,-0.0010587454107188336
high_phi_pi,Сильная реакция на инфляцию,25,labor_income,0.014624315971282872
high_phi_pi,Сильная реакция на инфляцию,25,financial_income,-0.04191823371560649
high_phi_pi,Сильная реакция на инфляцию,25,disposable_income,-0.0007981385703468253
high_phi_pi,Сильная реакция на инфляцию,26,labor_income,0.014265490325521582
high_phi_pi,Сильная реакция на инфляцию,26,financial_income,-0.04006957554841134
high_phi_pi,Сильная реакция на инфляцию,26,disposable_income,-0.0005548544961627011
high_phi_pi,Сильная реакция на инфляцию,27,labor_income,0.01393736163660847
high_phi_pi,Сильная реакция на инфляцию,27,financial_income,-0.038361121197767335
high_phi_pi,Сильная реакция на инфляцию,27,disposable_income,-0.00032748808409392027
high_phi_pi,Сильная реакция на инфляцию,28,labor_income,0.013637748602933436
high_phi_pi,Сильная реакция на инфляцию,28,financial_income,-0.036783872866814185
high_phi_pi,Сильная реакция на инфляцию,28,disposable_income,-0.00011517144290026
high_phi_pi,Сильная реакция на инфляцию,29,labor_income,0.013364565806187683
high_phi_pi,Сильная реакция на инфляцию,29,financial_income,-0.03533075368766886
high_phi_pi,Сильная реакция на инфляцию,29,disposable_income,8.250909948068096e-05
high_phi_pi,Сильная реакция на инфляцию,30,labor_income,0.013115787166126295
high_phi_pi,Сильная реакция на инфляцию,30,financial_income,-0.033996212506198185
high_phi_pi,Сильная реакция на инфляцию,30,disposable_income,0.00026559421701167303
high_phi_pi,Сильная реакция на инфляцию,31,labor_income,0.012889430060212382
high_phi_pi,Сильная реакция на инфляцию,31,financial_income,-0.03277580494132901
high_phi_pi,Сильная реакция на инфляцию,31,disposable_income,0.00043385430631948086
high_phi_pi,Сильная реакция на инфляцию,32,labor_income,0.012683564666561795
high_phi_pi,Сильная реакция на инфляцию,32,financial_income,-0.031665659466068204
high_phi_pi,Сильная реакция на инфляцию,32,disposable_income,0.0005869419120330896
high_phi_pi,Сильная реакция на инфляцию,33,labor_income,0.012496355818580532
high_phi_pi,Сильная реакция на инфляцию,33,financial_income,-0.03066173193206063
high_phi_pi,Сильная реакция на инфляцию,33,disposable_income,0.0007246255000284739
high_phi_pi,Сильная реакция на инфляцию,34,labor_income,0.012326145571911494
high_phi_pi,Сильная реакция на инфляцию,34,financial_income,-0.02975875188545781
high_phi_pi,Сильная реакция на инфляцию,34,disposable_income,0.000847136904649619
high_phi_pi,Сильная реакция на инфляцию,35,labor_income,0.012171586003774645
high_phi_pi,Сильная реакция на инфляцию,35,financial_income,-0.028948780814132356
high_phi_pi,Сильная реакция на инфляцию,35,disposable_income,0.0009556611561051079
high_phi_pi,Сильная реакция на инфляцию,36,labor_income,0.012031830002952144
high_phi_pi,Сильная реакция на инфляцию,36,financial_income,-0.028219336835041395
high_phi_pi,Сильная реакция на инфляцию,36,disposable_income,0.0010529867381313127
high_phi_pi,Сильная реакция на инфляцию,37,labor_income,0.011906784101935738
high_phi_pi,Сильная реакция на инфляцию,37,financial_income,-0.027551106019979784
high_phi_pi,Сильная реакция на инфляцию,37,disposable_income,0.0011443137131193785
high_phi_pi,Сильная реакция на инфляцию,38,labor_income,0.011797419446973894
high_phi_pi,Сильная реакция на инфляцию,38,financial_income,-0.026915362917200737
high_phi_pi,Сильная реакция на инфляцию,38,disposable_income,0.0012381834468886126
high_phi_pi,Сильная реакция на инфляцию,39,labor_income,0.011706123892033645
high_phi_pi,Сильная реакция на инфляцию,39,financial_income,-0.026271371740494515
high_phi_pi,Сильная реакция на инфляцию,39,disposable_income,0.0013474435134524752
high_phi_pi,Сильная реакция на инфляцию,40,labor_income,0.011637059326275428
high_phi_pi,Сильная реакция на инфляцию,40,financial_income,-0.02556424028337786
high_phi_pi,Сильная реакция на инфляцию,40,disposable_income,0.0014900929214091217
high_phi_pi,Сильная реакция на инфляцию,41,labor_income,0.011596462971445365
high_phi_pi,Сильная реакция на инфляцию,41,financial_income,-0.02472394835246223
high_phi_pi,Сильная реакция на инфляцию,41,disposable_income,0.0016897662328462877
high_phi_pi,Сильная реакция на инфляцию,42,labor_income,0.011592799831823371
high_phi_pi,Сильная реакция на инфляцию,42,financial_income,-0.02366655911265708
high_phi_pi,Сильная реакция на инфляцию,42,disposable_income,0.001975514026731047
high_phi_pi,Сильная реакция на инфляцию,43,labor_income,0.011636638097236817
high_phi_pi,Сильная реакция на инфляцию,43,financial_income,-0.02229891654756844
high_phi_pi,Сильная реакция на инфляцию,43,disposable_income,0.002380431015107654
high_phi_pi,Сильная реакция на инфляцию,44,labor_income,0.011740084256517713
high_phi_pi,Сильная реакция на инфляцию,44,financial_income,-0.020528382906247165
high_phi_pi,Сильная реакция на инфляцию,44,disposable_income,0.002938589263779436
high_phi_pi,Сильная реакция на инфляцию,45,labor_income,0.011915586650378234
high_phi_pi,Сильная реакция на инфляцию,45,financial_income,-0.018279295641922273
high_phi_pi,Сильная реакция на инфляцию,45,disposable_income,0.0036796793182703414
high_phi_pi,Сильная реакция на инфляцию,46,labor_income,0.012173907369253757
high_phi_pi,Сильная реакция на инфляцию,46,financial_income,-0.015517710753143663
high_phi_pi,Сильная реакция на инфляцию,46,disposable_income,0.004620786329589492
high_phi_pi,Сильная реакция на инфляцию,47,labor_income,0.01252108731275537
high_phi_pi,Сильная реакция на инфляцию,47,financial_income,-0.012285495566731383
high_phi_pi,Сильная реакция на инфляцию,47,disposable_income,0.005754883826883454
high_phi_pi,Сильная реакция на инфляцию,48,labor_income,0.01295430936422525
